LebwohlLasher_Numpy.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.299, Time: 0.988366 s
         1726209 function calls (1700215 primitive calls) in 40.372 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      578    0.008    0.000    0.027    0.000 fromnumeric.py:38(_wrapit)
     8930    0.008    0.000    0.008    0.000 {method 'split' of 'str' objects}
      376    0.008    0.000    0.192    0.001 path.py:498(contains_point)
        4    0.008    0.002    0.008    0.002 {built-in method matplotlib._c_internal_utils.display_is_valid}
     1889    0.008    0.000    0.008    0.000 transforms.py:1039(get_points)
      650    0.008    0.000    0.034    0.000 artist.py:1180(_update_props)
 1352/676    0.008    0.000    0.037    0.000 transforms.py:2452(inverted)
      376    0.008    0.000    0.031    0.000 _backend_tk.py:286(_event_mpl_coords)
      225    0.008    0.000    0.142    0.001 _base.py:3900(format_xdata)
      752    0.008    0.000    0.020    0.000 transforms.py:2465(__init__)
     1534    0.008    0.000    0.008    0.000 {built-in method matplotlib._path.affine_transform}
    22572    0.008    0.000    0.008    0.000 {built-in method builtins.id}
      971    0.008    0.000    0.010    0.000 inspect.py:2772(__init__)
    74061    0.008    0.000    0.008    0.000 {method 'lstrip' of 'str' objects}
     1534    0.008    0.000    0.018    0.000 transforms.py:1851(transform_affine)
    288/3    0.008    0.000    0.693    0.231 artist.py:54(draw_wrapper)
8992/7638    0.008    0.000    0.014    0.000 artist.py:319(stale)
      411    0.007    0.000    0.009    0.000 transforms.py:367(height)
16010/16001    0.007    0.000    0.009    0.000 {method 'join' of 'str' objects}
     8003    0.007    0.000    0.058    0.000 re.py:289(_compile)
       36    0.007    0.000    0.013    0.000 enum.py:157(__new__)
     6509    0.007    0.000    0.013    0.000 inspect.py:2489(__init__)
     2976    0.007    0.000    0.011    0.000 {built-in method _abc._abc_instancecheck}
      752    0.007    0.000    0.036    0.000 transforms.py:2500(get_matrix)
     3836    0.007    0.000    0.008    0.000 __init__.py:101(check_in_list)
      520    0.007    0.000    0.013    0.000 transforms.py:1986(rotate)
2637/2323    0.007    0.000    0.008    0.000 transforms.py:167(_invalidate_internal)
    372/1    0.007    0.000   40.372   40.372 {built-in method builtins.exec}
    20658    0.007    0.000    0.007    0.000 {method 'items' of 'dict' objects}
  310/308    0.007    0.000    0.045    0.000 transforms.py:1780(__eq__)
  919/918    0.007    0.000    0.030    0.000 transforms.py:2605(get_matrix)
      694    0.007    0.000    0.018    0.000 inspect.py:2124(_signature_from_function)
     9163    0.007    0.000    0.007    0.000 transforms.py:1929(get_matrix)
     8262    0.007    0.000    0.007    0.000 enum.py:631(__new__)
     8508    0.006    0.000    0.006    0.000 {method 'pop' of 'dict' objects}
      594    0.006    0.000    0.016    0.000 ticker.py:516(_format_maybe_minus_and_locale)
     2323    0.006    0.000    0.014    0.000 transforms.py:157(invalidate)
     1420    0.006    0.000    0.022    0.000 fromnumeric.py:69(_wrapreduction)
      352    0.006    0.000    0.309    0.001 backend_bases.py:3126(_mouse_event_to_message)
      450    0.006    0.000    0.012    0.000 __init__.py:2200(_g_sig_digits)
      536    0.006    0.000    0.066    0.000 transforms.py:809(from_extents)
      225    0.006    0.000    0.155    0.001 _base.py:3910(format_ydata)
     6940    0.006    0.000    0.006    0.000 {method 'format' of 'str' objects}
     6764    0.006    0.000    0.086    0.000 inspect.py:606(getdoc)
     7352    0.006    0.000    0.012    0.000 transforms.py:209(<lambda>)
      824    0.006    0.000    0.013    0.000 transforms.py:2041(translate)
