#=====================================================
# File created:        Tue-12-Mar-2024-at-11-19-48AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 1.000
# Run time (s):        3.146096
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2555.1921  0.2670 
   00001    0.6804   -3778.1365  0.2729 
   00002    0.6324   -4381.4495  0.2716 
   00003    0.5852   -4791.2776  0.2826 
   00004    0.5504   -5150.2111  0.2929 
   00005    0.5504   -5409.8264  0.2995 
   00006    0.5308   -5401.9800  0.3148 
   00007    0.5424   -5481.7134  0.3040 
   00008    0.5336   -5482.2543  0.2962 
   00009    0.5332   -5582.2322  0.3134 
   00010    0.5228   -5575.6089  0.3184 
   00011    0.4872   -5658.0917  0.3196 
   00012    0.5076   -5710.9687  0.3213 
   00013    0.4984   -5720.7500  0.3232 
   00014    0.5192   -5649.7121  0.3175 
   00015    0.5156   -5687.2921  0.3310 
   00016    0.4988   -5752.1429  0.3295 
   00017    0.5076   -5774.4234  0.3335 
   00018    0.4692   -5777.9391  0.3342 
   00019    0.4892   -5800.8883  0.3406 
   00020    0.4916   -5870.6737  0.3513 
   00021    0.5056   -5819.5234  0.3499 
   00022    0.5032   -5801.2028  0.3621 
   00023    0.5032   -5765.2965  0.3648 
   00024    0.4988   -5763.9619  0.3442 
   00025    0.5052   -5763.1775  0.3474 
   00026    0.4976   -5645.5699  0.3430 
   00027    0.4928   -5731.2515  0.3476 
   00028    0.5092   -5673.0996  0.3334 
   00029    0.5036   -5648.8575  0.3458 
   00030    0.5132   -5705.3434  0.3480 
   00031    0.5032   -5692.3143  0.3550 
   00032    0.5160   -5664.8230  0.3606 
   00033    0.4992   -5672.5938  0.3606 
   00034    0.5056   -5688.9570  0.3376 
   00035    0.5112   -5689.9975  0.3341 
   00036    0.5016   -5712.0575  0.3348 
   00037    0.4996   -5800.2174  0.3320 
   00038    0.5076   -5722.8166  0.3244 
   00039    0.5000   -5705.0680  0.3265 
   00040    0.5108   -5715.3446  0.3284 
   00041    0.4972   -5827.7743  0.3214 
   00042    0.4852   -5879.7582  0.3010 
   00043    0.4936   -5861.0578  0.2999 
   00044    0.4908   -5909.1935  0.3026 
   00045    0.4860   -5814.4875  0.3051 
   00046    0.4996   -5962.6875  0.3135 
   00047    0.4868   -5949.9987  0.3140 
   00048    0.4932   -5888.8986  0.3044 
   00049    0.4860   -5839.8474  0.2899 
   00050    0.4928   -5935.5541  0.2885 
