LebwohlLasher_Numpy.py: Size: 100, Steps: 100, T*: 0.500: Order: 0.284, Time: 8.342402 s
         2724556 function calls (2702160 primitive calls) in 15.661 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    32489    0.005    0.000    0.005    0.000 {method 'items' of 'dict' objects}
    25436    0.005    0.000    0.005    0.000 {method 'get' of 'dict' objects}
     1840    0.005    0.000    0.005    0.000 {method 'copy' of 'numpy.ndarray' objects}
    37246    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
       52    0.005    0.000    0.005    0.000 {built-in method io.open}
       72    0.005    0.000    0.017    0.000 lines.py:728(draw)
     1708    0.005    0.000    0.022    0.000 fromnumeric.py:69(_wrapreduction)
       38    0.005    0.000    0.005    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
     6357    0.005    0.000    0.005    0.000 {method 'format' of 'str' objects}
      512    0.005    0.000    0.007    0.000 __init__.py:1736(normalize_kwargs)
     3728    0.005    0.000    0.005    0.000 {built-in method __new__ of type object at 0x902780}
 1707/350    0.004    0.000    0.005    0.000 {built-in method _abc._abc_subclasscheck}
       72    0.004    0.000    0.034    0.000 text.py:363(_get_layout)
     1305    0.004    0.000    0.004    0.000 {method 'getint' of '_tkinter.tkapp' objects}
       99    0.004    0.000    0.013    0.000 __init__.py:1547(_substitute)
    20277    0.004    0.000    0.004    0.000 path.py:211(vertices)
     5304    0.004    0.000    0.053    0.000 re.py:198(search)
      322    0.004    0.000    0.178    0.001 <frozen importlib._bootstrap_external>:914(get_code)
      885    0.004    0.000    0.005    0.000 transforms.py:194(set_children)
    20177    0.004    0.000    0.004    0.000 path.py:225(codes)
      322    0.004    0.000    0.079    0.000 <frozen importlib._bootstrap_external>:1034(get_data)
      108    0.003    0.000    0.004    0.000 lines.py:1229(set_markerfacecoloralt)
  180/104    0.003    0.000    0.004    0.000 _base.py:917(get_xaxis_transform)
      101    0.003    0.000    0.005    0.000 linalg.py:1065(eigvalsh)
     1513    0.003    0.000    0.003    0.000 {built-in method numpy.array}
      814    0.003    0.000    0.006    0.000 functools.py:34(update_wrapper)
     4294    0.003    0.000    0.003    0.000 {built-in method builtins.sorted}
     3586    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
      317    0.003    0.000    0.003    0.000 function_base.py:451(_needs_add_docstring)
        1    0.003    0.003    0.003    0.003 {method 'readlines' of '_io._IOBase' objects}
      172    0.003    0.000    0.004    0.000 sre_compile.py:276(_optimize_charset)
