#=====================================================
# File created:        Mon-11-Mar-2024-at-06-02-50PM
# Size of lattice:     150x150
# Number of MC steps:  150
# Reduced temperature: 0.500
# Run time (s):        125.099678
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -22599.6758  0.2529 
   00001    0.6739  -33176.5703  0.2520 
   00002    0.6250  -40308.7695  0.2559 
   00003    0.5884  -45267.0781  0.2534 
   00004    0.5615  -49357.6953  0.2566 
   00005    0.5401  -52577.3086  0.2573 
   00006    0.5218  -54887.6406  0.2544 
   00007    0.5139  -57112.3125  0.2556 
   00008    0.4998  -58879.5938  0.2574 
   00009    0.4900  -60360.7812  0.2573 
   00010    0.4857  -61604.0469  0.2585 
   00011    0.4794  -62738.8672  0.2585 
   00012    0.4734  -63572.5820  0.2598 
   00013    0.4622  -64451.3711  0.2616 
   00014    0.4584  -65141.0078  0.2605 
   00015    0.4626  -65926.8594  0.2604 
   00016    0.4596  -66592.1953  0.2606 
   00017    0.4548  -66978.6172  0.2643 
   00018    0.4541  -67550.2656  0.2674 
   00019    0.4512  -67879.6094  0.2669 
   00020    0.4471  -68260.5078  0.2665 
   00021    0.4480  -68561.2578  0.2671 
   00022    0.4470  -68848.6328  0.2681 
   00023    0.4429  -69151.0781  0.2675 
   00024    0.4412  -69474.7031  0.2666 
   00025    0.4423  -69736.1953  0.2670 
   00026    0.4442  -69957.9375  0.2654 
   00027    0.4415  -70244.8203  0.2666 
   00028    0.4411  -70534.9375  0.2666 
   00029    0.4444  -70768.3516  0.2676 
   00030    0.4363  -70895.0625  0.2651 
   00031    0.4339  -71137.5938  0.2661 
   00032    0.4335  -71364.8281  0.2660 
   00033    0.4332  -71543.3281  0.2648 
   00034    0.4364  -71746.0938  0.2657 
   00035    0.4237  -71951.1016  0.2660 
   00036    0.4299  -72156.6094  0.2641 
   00037    0.4231  -72203.7109  0.2644 
   00038    0.4267  -72184.4922  0.2646 
   00039    0.4280  -72448.1328  0.2621 
   00040    0.4288  -72492.9297  0.2617 
   00041    0.4282  -72655.4609  0.2598 
   00042    0.4294  -72699.2188  0.2579 
   00043    0.4284  -73021.6484  0.2602 
   00044    0.4272  -73006.9219  0.2594 
   00045    0.4263  -73140.0859  0.2619 
   00046    0.4219  -73185.1016  0.2627 
   00047    0.4241  -73229.1953  0.2632 
   00048    0.4198  -73226.1953  0.2634 
   00049    0.4313  -73308.3594  0.2672 
   00050    0.4202  -73261.4688  0.2654 
   00051    0.4287  -73259.7344  0.2672 
   00052    0.4283  -73263.7656  0.2652 
   00053    0.4166  -73314.5781  0.2652 
   00054    0.4251  -73476.7578  0.2666 
   00055    0.4275  -73402.8906  0.2688 
   00056    0.4171  -73412.9922  0.2706 
   00057    0.4231  -73464.1016  0.2714 
   00058    0.4254  -73484.5859  0.2724 
   00059    0.4244  -73454.1250  0.2735 
   00060    0.4267  -73649.0312  0.2748 
   00061    0.4198  -73734.5312  0.2761 
   00062    0.4166  -73955.1719  0.2771 
   00063    0.4244  -73940.9453  0.2767 
   00064    0.4237  -74128.0469  0.2783 
   00065    0.4200  -74182.0547  0.2783 
   00066    0.4178  -74273.1719  0.2794 
   00067    0.4201  -74172.8281  0.2807 
   00068    0.4188  -74265.8438  0.2818 
   00069    0.4163  -74332.8359  0.2803 
   00070    0.4237  -74433.9141  0.2807 
   00071    0.4179  -74364.7031  0.2804 
   00072    0.4232  -74460.4141  0.2814 
   00073    0.4189  -74456.4453  0.2840 
   00074    0.4171  -74622.9766  0.2833 
   00075    0.4212  -74512.3203  0.2829 
   00076    0.4116  -74515.2500  0.2813 
   00077    0.4197  -74623.4766  0.2804 
   00078    0.4205  -74607.4844  0.2795 
   00079    0.4200  -74725.1250  0.2780 
   00080    0.4151  -74711.5156  0.2793 
   00081    0.4196  -74776.1406  0.2788 
   00082    0.4195  -74645.6094  0.2793 
   00083    0.4224  -74714.0234  0.2781 
   00084    0.4168  -74874.2578  0.2797 
   00085    0.4153  -74976.9531  0.2809 
   00086    0.4175  -75045.0000  0.2811 
