         952258 function calls (938251 primitive calls) in 1.440 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      754    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
        1    0.002    0.002    0.002    0.002 {method 'readlines' of '_io._IOBase' objects}
  448/206    0.002    0.000    0.029    0.000 sre_parse.py:435(_parse_sub)
     5467    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
       33    0.001    0.000    0.002    0.000 {built-in method io.open}
     3374    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     5105    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
      320    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
      206    0.001    0.000    0.059    0.000 sre_compile.py:759(compile)
      775    0.001    0.000    0.002    0.000 inspect.py:493(unwrap)
      409    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
     9140    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      188    0.001    0.000    0.001    0.000 colors.py:1101(<listcomp>)
      582    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
       92    0.001    0.000    0.013    0.000 __init__.py:1372(_preprocess_data)
       36    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
    291/5    0.001    0.000    0.926    0.185 <frozen importlib._bootstrap_external>:842(exec_module)
      969    0.001    0.000    0.021    0.000 __init__.py:699(__setitem__)
      291    0.001    0.000    0.062    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
       24    0.001    0.000    0.003    0.000 util.py:186(_collapse_string_to_ranges)
 3344/795    0.001    0.000    0.001    0.000 __init__.py:362(recursive_subclasses)
      314    0.001    0.000    0.010    0.000 overrides.py:170(decorator)
      627    0.001    0.000    0.001    0.000 enum.py:417(__setattr__)
      100    0.001    0.000    0.303    0.003 artist.py:159(_update_set_signature_and_docstring)
      206    0.001    0.000    0.004    0.000 sre_compile.py:536(_compile_info)
      284    0.001    0.000    0.006    0.000 overrides.py:88(verify_matching_signatures)
     3288    0.001    0.000    0.001    0.000 inspect.py:2821(<genexpr>)
       18    0.001    0.000    0.001    0.000 arrayprint.py:1564(_guarded_repr_or_str)
1608/1442    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
      461    0.001    0.000    0.004    0.000 copy.py:66(copy)
      132    0.001    0.000    0.034    0.000 _docstring.py:38(__call__)
     4531    0.001    0.000    0.001    0.000 artist.py:1567(<genexpr>)
        1    0.001    0.001    0.001    0.001 {built-in method _posixsubprocess.fork_exec}
      101    0.001    0.000    0.004    0.000 deprecation.py:128(deprecate)
     1384    0.001    0.000    0.061    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
  457/237    0.001    0.000    0.003    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
       52    0.001    0.000    0.001    0.000 core.py:894(__init__)
      169    0.001    0.000    0.002    0.000 colors.py:307(_to_rgba_no_colorcycle)
     8567    0.001    0.000    0.001    0.000 inspect.py:2539(name)
     6941    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
     1043    0.001    0.000    0.002    0.000 typing.py:762(__setattr__)
     2510    0.001    0.000    0.001    0.000 sre_parse.py:172(append)
      213    0.001    0.000    0.078    0.000 artist.py:1426(__init__)
     5734    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      291    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:553(_classify_pyc)
      873    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
   441/17    0.001    0.000    1.331    0.078 {built-in method builtins.__import__}
   273/11    0.001    0.000    0.005    0.000 core.py:811(_parseNoCache)
        1    0.001    0.001    0.001    0.001 artist.py:117(Artist)
      244    0.001    0.000    0.001    0.000 core.py:461(__init__)
     5312    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
     1789    0.001    0.000    0.001    0.000 inspect.py:158(isfunction)
       15    0.001    0.000    0.001    0.000 rcsetup.py:85(_listify_validator)
     1324    0.001    0.000    0.011    0.000 re.py:188(match)
      340    0.001    0.000    0.055    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
     2686    0.001    0.000    0.001    0.000 util.py:189(is_consecutive)
      100    0.001    0.000    0.008    0.000 deprecation.py:416(make_keyword_only)
      344    0.001    0.000    0.003    0.000 inspect.py:544(_finddoc)
     2483    0.001    0.000    0.001    0.000 sre_parse.py:160(__len__)
       30    0.001    0.000    0.001    0.000 enum.py:200(<setcomp>)
       18    0.001    0.000    0.005    0.000 {built-in method builtins.eval}
      429    0.001    0.000    0.016    0.000 artist.py:1540(number_of_parameters)
     2304    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
     1544    0.001    0.000    0.001    0.000 sre_parse.py:286(tell)
      110    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
        1    0.001    0.001    0.001    0.001 helpers.py:647(<dictcomp>)
      320    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1493(_get_spec)
     7007    0.001    0.000    0.001    0.000 inspect.py:2551(kind)
        6    0.001    0.000    0.003    0.000 getlimits.py:34(__init__)
      651    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      929    0.001    0.000    0.013    0.000 artist.py:1546(is_alias)
     2146    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
