#=====================================================
# File created:        Fri-08-Mar-2024-at-01-56-21PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.189108
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2527.7452  0.2527 
   00001    0.6832   -3747.2721  0.2566 
   00002    0.6236   -4480.8075  0.2587 
   00003    0.5948   -5063.2238  0.2587 
   00004    0.5672   -5494.5693  0.2572 
   00005    0.5404   -5812.8437  0.2607 
   00006    0.5272   -6135.2694  0.2646 
   00007    0.4804   -6322.6094  0.2643 
   00008    0.4976   -6487.8592  0.2638 
   00009    0.4776   -6663.6145  0.2639 
   00010    0.4960   -6788.3665  0.2660 
   00011    0.4888   -6934.6184  0.2704 
   00012    0.4840   -7067.3913  0.2697 
   00013    0.4560   -7111.1640  0.2703 
   00014    0.4596   -7192.8750  0.2707 
   00015    0.4856   -7279.6521  0.2716 
   00016    0.4600   -7339.1122  0.2706 
   00017    0.4544   -7451.5825  0.2732 
   00018    0.4756   -7526.5175  0.2757 
   00019    0.4392   -7588.0205  0.2765 
   00020    0.4280   -7626.8052  0.2778 
   00021    0.4344   -7648.4948  0.2772 
   00022    0.4480   -7641.6539  0.2771 
   00023    0.4468   -7609.9178  0.2783 
   00024    0.4332   -7652.9254  0.2800 
   00025    0.4692   -7678.6036  0.2822 
   00026    0.4476   -7762.3648  0.2835 
   00027    0.4272   -7822.6006  0.2832 
   00028    0.4232   -7832.5794  0.2822 
   00029    0.4512   -7856.6563  0.2823 
   00030    0.4396   -7850.3620  0.2827 
   00031    0.4432   -7886.0676  0.2822 
   00032    0.4312   -7921.7493  0.2821 
   00033    0.4264   -7919.8554  0.2801 
   00034    0.4500   -7890.9482  0.2801 
   00035    0.4400   -7903.8834  0.2809 
   00036    0.4292   -7933.3790  0.2813 
   00037    0.4188   -7953.2136  0.2824 
   00038    0.4252   -7994.4228  0.2841 
   00039    0.4528   -7949.9786  0.2863 
   00040    0.4444   -7934.9545  0.2850 
   00041    0.4380   -7947.9955  0.2878 
   00042    0.4452   -7916.6375  0.2878 
   00043    0.4440   -7993.3914  0.2884 
   00044    0.4272   -7989.9019  0.2868 
   00045    0.4352   -7999.3847  0.2848 
   00046    0.4268   -8069.2091  0.2837 
   00047    0.4356   -8075.8323  0.2846 
   00048    0.4264   -8069.4662  0.2843 
   00049    0.4280   -8111.7570  0.2850 
   00050    0.4192   -8102.1889  0.2852 
