#=====================================================
# File created:        Tue-12-Mar-2024-at-10-45-00AM
# Size of lattice:     50x50
# Number of MC steps:  300
# Reduced temperature: 1.000
# Run time (s):        20.262470
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2508.4603  0.2672 
   00001    0.7000   -3725.0905  0.2735 
   00002    0.6248   -4321.9805  0.2711 
   00003    0.6008   -4796.3451  0.2717 
   00004    0.5676   -5045.0186  0.2864 
   00005    0.5564   -5172.8323  0.2817 
   00006    0.5484   -5322.0546  0.2761 
   00007    0.5316   -5408.9045  0.2803 
   00008    0.5504   -5394.1145  0.2711 
   00009    0.5288   -5513.1248  0.2641 
   00010    0.5148   -5545.1520  0.2659 
   00011    0.5072   -5637.5123  0.2616 
   00012    0.5120   -5706.6737  0.2626 
   00013    0.4968   -5714.0451  0.2613 
   00014    0.4864   -5778.7318  0.2615 
   00015    0.5172   -5807.6392  0.2679 
   00016    0.4980   -5856.6054  0.2723 
   00017    0.4936   -5779.2651  0.2680 
   00018    0.5180   -5683.4676  0.2797 
   00019    0.5132   -5706.9500  0.2754 
   00020    0.5096   -5692.8852  0.2757 
   00021    0.4924   -5711.4272  0.2805 
   00022    0.5028   -5606.9347  0.2852 
   00023    0.5028   -5631.4850  0.2843 
   00024    0.5008   -5688.9542  0.2730 
   00025    0.5288   -5755.6217  0.2599 
   00026    0.5004   -5798.8274  0.2660 
   00027    0.4964   -5710.4957  0.2679 
   00028    0.4972   -5818.8204  0.2670 
   00029    0.5052   -5763.6263  0.2680 
   00030    0.5068   -5780.0275  0.2638 
   00031    0.4872   -5765.7304  0.2604 
   00032    0.4912   -5792.4583  0.2632 
   00033    0.4964   -5928.1824  0.2656 
   00034    0.5100   -5940.0803  0.2738 
   00035    0.4804   -5956.5827  0.2651 
   00036    0.4868   -5948.1379  0.2538 
   00037    0.4704   -5833.5785  0.2653 
   00038    0.4684   -5974.5192  0.2653 
   00039    0.5028   -5833.1920  0.2746 
   00040    0.4928   -5923.6064  0.2854 
   00041    0.5048   -5976.2751  0.2870 
   00042    0.4780   -5982.0825  0.2888 
   00043    0.4828   -5889.3666  0.2783 
   00044    0.4888   -5912.8772  0.2722 
   00045    0.4712   -5932.1722  0.2732 
   00046    0.4936   -5990.0459  0.2785 
   00047    0.5092   -5906.8178  0.2733 
   00048    0.4848   -5847.7386  0.2783 
   00049    0.4872   -5877.5900  0.2811 
   00050    0.4964   -5939.4332  0.2758 
   00051    0.4876   -5930.9165  0.2646 
   00052    0.4912   -5930.5395  0.2711 
   00053    0.4916   -5895.9489  0.2715 
   00054    0.4764   -5890.6539  0.2722 
   00055    0.5020   -5916.6807  0.2749 
   00056    0.4672   -5956.7665  0.2763 
   00057    0.4872   -5957.3830  0.2709 
   00058    0.4780   -5974.4845  0.2855 
   00059    0.5008   -5887.2678  0.2842 
   00060    0.4996   -5886.3003  0.2917 
   00061    0.5004   -5910.8340  0.2824 
   00062    0.5036   -5889.1277  0.2701 
