         7092325 function calls (7074186 primitive calls) in 9.951 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5988    0.003    0.000    0.003    0.000 sre_parse.py:233(__next)
     3614    0.003    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
     7467    0.003    0.000    0.005    0.000 sre_parse.py:164(__getitem__)
      400    0.003    0.000    0.131    0.000 <frozen importlib._bootstrap>:890(_find_spec)
4090/3575    0.003    0.000    0.006    0.000 artist.py:319(stale)
        1    0.003    0.003    0.003    0.003 {method 'take' of 'numpy.ndarray' objects}
      313    0.003    0.000    0.016    0.000 artist.py:1180(_update_props)
  821/819    0.003    0.000    0.011    0.000 __init__.py:301(process)
     1060    0.003    0.000    0.009    0.000 copy.py:66(copy)
      481    0.003    0.000    0.003    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     3614    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
 1287/423    0.003    0.000    0.004    0.000 sre_parse.py:174(getwidth)
      788    0.003    0.000    0.003    0.000 {built-in method numpy.asanyarray}
   410/16    0.003    0.000    1.448    0.090 <frozen importlib._bootstrap>:986(_find_and_load)
       19    0.003    0.000    0.003    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
    29934    0.003    0.000    0.003    0.000 {built-in method builtins.callable}
        2    0.003    0.001    0.003    0.001 {built-in method matplotlib._path.update_path_extents}
      646    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
     4252    0.003    0.000    0.003    0.000 {built-in method builtins.sorted}
 1618/265    0.003    0.000    0.003    0.000 {built-in method _abc._abc_subclasscheck}
        3    0.003    0.001    0.003    0.001 {built-in method matplotlib._c_internal_utils.display_is_valid}
      188    0.003    0.000    0.003    0.000 colors.py:1101(<listcomp>)
      100    0.003    0.000    0.011    0.000 artist.py:170(<listcomp>)
      803    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
  380/379    0.003    0.000    0.124    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
      826    0.003    0.000    0.009    0.000 copy.py:258(_reconstruct)
        4    0.003    0.001    0.008    0.002 core.py:2332(masked_invalid)
       40    0.003    0.000    0.007    0.000 __init__.py:313(namedtuple)
   380/17    0.002    0.000    1.441    0.085 <frozen importlib._bootstrap>:650(_load_unlocked)
      697    0.002    0.000    0.004    0.000 enum.py:75(__setitem__)
     7416    0.002    0.000    0.002    0.000 enum.py:631(__new__)
   407/16    0.002    0.000    1.447    0.090 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
      514    0.002    0.000    0.004    0.000 transforms.py:1889(__init__)
       36    0.002    0.000    0.014    0.000 text.py:363(_get_layout)
     4994    0.002    0.000    0.005    0.000 sre_parse.py:254(get)
        1    0.002    0.002    0.002    0.002 {method 'readlines' of '_io._IOBase' objects}
      379    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
     2654    0.002    0.000    0.003    0.000 __init__.py:421(_strip_comment)
       42    0.002    0.000    0.002    0.000 {built-in method io.open}
      618    0.002    0.000    0.005    0.000 _inspect.py:96(getargspec)
       21    0.002    0.000    0.002    0.000 {built-in method _imp.create_builtin}
      614    0.002    0.000    0.002    0.000 _inspect.py:65(getargs)
      803    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
       29    0.002    0.000    1.214    0.042 __init__.py:1(<module>)
       61    0.002    0.000    0.006    0.000 __init__.py:1547(_substitute)
      256    0.002    0.000    0.003    0.000 __init__.py:1736(normalize_kwargs)
     3849    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
