#=====================================================
# File created:        Tue-12-Mar-2024-at-03-13-25PM
# Size of lattice:     50x50
# Number of MC steps:  100
# Reduced temperature: 1.000
# Run time (s):        5.890265
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2504.4454  0.2598 
   00001    0.6868   -3771.8242  0.2836 
   00002    0.6108   -4408.5962  0.2835 
   00003    0.5932   -4853.7229  0.2903 
   00004    0.5764   -5018.2160  0.3048 
   00005    0.5540   -5174.0431  0.3073 
   00006    0.5388   -5291.2034  0.3083 
   00007    0.5268   -5393.0764  0.3035 
   00008    0.5360   -5444.1661  0.2928 
   00009    0.5232   -5493.5384  0.2962 
   00010    0.5260   -5568.5523  0.2818 
   00011    0.5164   -5598.6396  0.2918 
   00012    0.5292   -5672.4185  0.2856 
   00013    0.5056   -5701.5644  0.2966 
   00014    0.5032   -5687.4641  0.2980 
   00015    0.5112   -5796.8493  0.3040 
   00016    0.4940   -5878.8058  0.3143 
   00017    0.4992   -5865.2817  0.3106 
   00018    0.4968   -5770.8867  0.3089 
   00019    0.5128   -5735.7010  0.3139 
   00020    0.4932   -5701.5705  0.3098 
   00021    0.5012   -5772.2299  0.3064 
   00022    0.5084   -5813.6475  0.2888 
   00023    0.4944   -5710.2757  0.2931 
   00024    0.4960   -5763.3989  0.2779 
   00025    0.4936   -5854.3250  0.2934 
   00026    0.4860   -5843.3446  0.2920 
   00027    0.5072   -5758.2405  0.2965 
   00028    0.4956   -5790.5799  0.2892 
   00029    0.5104   -5863.1146  0.2941 
   00030    0.4916   -5881.9118  0.2968 
   00031    0.5024   -5901.2588  0.3008 
   00032    0.4952   -5899.0482  0.2914 
   00033    0.4968   -6032.5378  0.2977 
   00034    0.4908   -5944.6405  0.2932 
   00035    0.4960   -5929.2661  0.2902 
   00036    0.5060   -5869.5277  0.2777 
   00037    0.5004   -5813.6295  0.2763 
   00038    0.5044   -5918.2922  0.2706 
   00039    0.4980   -5804.9709  0.2787 
   00040    0.5100   -5775.7777  0.2780 
   00041    0.4868   -5932.0570  0.2812 
   00042    0.4804   -5914.5261  0.2823 
   00043    0.4892   -5935.2291  0.2769 
   00044    0.4984   -5924.2787  0.2728 
   00045    0.5016   -6019.9377  0.2748 
   00046    0.4964   -5942.5446  0.2742 
   00047    0.5000   -5976.1669  0.2777 
   00048    0.4984   -5939.8469  0.2830 
   00049    0.4652   -5967.4634  0.2943 
   00050    0.4740   -5950.1358  0.3008 
   00051    0.4928   -6006.3751  0.3069 
   00052    0.4920   -6057.6739  0.3112 
   00053    0.4884   -5985.4212  0.3132 
   00054    0.4888   -5985.6901  0.2964 
   00055    0.4776   -6140.4774  0.2984 
   00056    0.4848   -6198.8252  0.3041 
   00057    0.4908   -6027.0420  0.2884 
   00058    0.4940   -5883.1836  0.2892 
   00059    0.5048   -5799.6206  0.2923 
   00060    0.5140   -5834.8270  0.2845 
   00061    0.4896   -5845.3348  0.2933 
   00062    0.5016   -5857.8096  0.3071 
   00063    0.4736   -5905.6087  0.3117 
   00064    0.5016   -5948.5414  0.3122 
   00065    0.4948   -5959.6342  0.3214 
   00066    0.4884   -5995.2042  0.3340 
   00067    0.4636   -5945.7533  0.3219 
   00068    0.4828   -5952.8717  0.3312 
   00069    0.4820   -5942.0263  0.3233 
   00070    0.4936   -6012.3557  0.3279 
   00071    0.4904   -5926.6856  0.3258 
   00072    0.4952   -5922.2231  0.3283 
   00073    0.4928   -5874.1209  0.3272 
   00074    0.4992   -5961.4723  0.3385 
   00075    0.4940   -5949.6196  0.3372 
   00076    0.4788   -5827.3438  0.3291 
   00077    0.5000   -5859.2793  0.3159 
   00078    0.4900   -5911.5570  0.2974 
   00079    0.4916   -5994.3900  0.3036 
   00080    0.4728   -5946.7611  0.3097 
   00081    0.4804   -5930.6717  0.3177 
   00082    0.4952   -5919.7671  0.3051 
   00083    0.4812   -5907.8408  0.2986 
   00084    0.4776   -5801.3739  0.3072 
   00085    0.5072   -5836.6771  0.3035 
   00086    0.5116   -5894.1741  0.3117 
   00087    0.4924   -5933.1023  0.3118 
   00088    0.4936   -5892.9905  0.3114 
   00089    0.5128   -5878.2452  0.3126 
   00090    0.5024   -5903.0534  0.3281 
   00091    0.4968   -5799.8407  0.3247 
   00092    0.5088   -5861.3513  0.3251 
   00093    0.4864   -5876.4185  0.3171 
   00094    0.4836   -5966.2738  0.3095 
   00095    0.4988   -5947.3153  0.3009 
   00096    0.4852   -5915.0426  0.3053 
   00097    0.4936   -6023.6468  0.2982 
   00098    0.4896   -6027.5506  0.2954 
   00099    0.4692   -6025.4336  0.3008 
   00100    0.4684   -5997.8044  0.3096 
