#=====================================================
# File created:        Mon-11-Mar-2024-at-01-58-45PM
# Size of lattice:     100x100
# Number of MC steps:  100
# Reduced temperature: 0.500
# Run time (s):        27.948881
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -9771.6482  0.2546 
   00001    0.6874  -14727.1685  0.2610 
   00002    0.6248  -17821.6441  0.2599 
   00003    0.5824  -20065.0752  0.2649 
   00004    0.5589  -21955.9207  0.2698 
   00005    0.5357  -23303.5332  0.2732 
   00006    0.5249  -24480.1145  0.2757 
   00007    0.5066  -25409.0436  0.2738 
   00008    0.4903  -26196.5817  0.2717 
   00009    0.4895  -26907.2378  0.2728 
   00010    0.4842  -27527.3829  0.2774 
   00011    0.4791  -28155.5868  0.2844 
   00012    0.4754  -28535.0261  0.2830 
   00013    0.4639  -28915.8632  0.2836 
   00014    0.4616  -29190.0433  0.2863 
   00015    0.4585  -29268.6382  0.2872 
   00016    0.4548  -29503.4342  0.2867 
   00017    0.4625  -29736.5814  0.2860 
   00018    0.4514  -29918.4449  0.2862 
   00019    0.4470  -30141.1272  0.2866 
   00020    0.4477  -30319.7957  0.2890 
   00021    0.4577  -30511.6237  0.2899 
   00022    0.4486  -30686.8790  0.2948 
   00023    0.4441  -30707.1620  0.2947 
   00024    0.4446  -30881.8970  0.3006 
   00025    0.4463  -31001.4247  0.3033 
   00026    0.4377  -31118.8234  0.3067 
   00027    0.4410  -31311.6239  0.3069 
   00028    0.4418  -31392.0309  0.3054 
   00029    0.4444  -31475.5283  0.3007 
   00030    0.4306  -31508.5988  0.3027 
   00031    0.4425  -31549.3346  0.3052 
   00032    0.4341  -31671.3852  0.3020 
   00033    0.4448  -31771.6128  0.3052 
   00034    0.4273  -31784.7961  0.3066 
   00035    0.4338  -31839.1811  0.3075 
   00036    0.4322  -31933.6912  0.3072 
   00037    0.4316  -31912.7302  0.3045 
   00038    0.4349  -31990.9384  0.3057 
   00039    0.4316  -32024.0129  0.3070 
   00040    0.4317  -32039.5314  0.3042 
   00041    0.4357  -32039.8483  0.3068 
   00042    0.4310  -32159.8218  0.3103 
   00043    0.4267  -32276.6025  0.3094 
   00044    0.4294  -32363.5116  0.3095 
   00045    0.4280  -32300.7613  0.3086 
   00046    0.4269  -32342.8636  0.3086 
   00047    0.4291  -32375.2483  0.3070 
   00048    0.4308  -32362.5636  0.3070 
   00049    0.4200  -32418.2119  0.3068 
   00050    0.4211  -32450.2880  0.3080 
   00051    0.4277  -32483.6346  0.3098 
   00052    0.4232  -32495.9687  0.3093 
   00053    0.4277  -32475.2589  0.3079 
   00054    0.4282  -32458.9276  0.3095 
   00055    0.4275  -32455.8969  0.3138 
   00056    0.4224  -32492.8614  0.3162 
   00057    0.4310  -32592.3917  0.3177 
   00058    0.4255  -32650.8534  0.3211 
   00059    0.4232  -32702.5204  0.3225 
   00060    0.4156  -32801.8727  0.3213 
   00061    0.4222  -32770.6354  0.3218 
   00062    0.4222  -32844.0919  0.3210 
   00063    0.4190  -32845.8556  0.3248 
   00064    0.4226  -32867.8862  0.3259 
   00065    0.4231  -32859.7643  0.3276 
   00066    0.4103  -32752.6253  0.3294 
   00067    0.4287  -32768.8641  0.3338 
   00068    0.4163  -32734.5412  0.3329 
   00069    0.4255  -32793.9720  0.3334 
   00070    0.4240  -32699.4876  0.3325 
   00071    0.4238  -32802.9022  0.3357 
   00072    0.4184  -32924.2952  0.3358 
   00073    0.4161  -32903.7086  0.3367 
   00074    0.4231  -32934.3336  0.3367 
   00075    0.4299  -33008.2861  0.3393 
   00076    0.4192  -32994.7250  0.3360 
   00077    0.4134  -32986.1589  0.3391 
   00078    0.4155  -32995.9676  0.3403 
   00079    0.4320  -33014.4257  0.3456 
   00080    0.4237  -32968.9408  0.3441 
   00081    0.4242  -32977.3663  0.3432 
   00082    0.4260  -32996.9001  0.3448 
   00083    0.4192  -33038.9322  0.3464 
   00084    0.4218  -33070.4717  0.3484 
   00085    0.4265  -33016.9181  0.3506 
   00086    0.4173  -32984.4925  0.3502 
   00087    0.4207  -33000.4286  0.3542 
   00088    0.4226  -33096.1300  0.3571 
   00089    0.4179  -33074.9854  0.3578 
   00090    0.4208  -33179.3506  0.3567 
   00091    0.4194  -33232.0019  0.3551 
   00092    0.4188  -33276.0359  0.3539 
   00093    0.4129  -33221.0001  0.3527 
   00094    0.4163  -33192.1600  0.3538 
   00095    0.4124  -33247.6944  0.3533 
   00096    0.4251  -33274.4492  0.3533 
   00097    0.4135  -33273.4235  0.3499 
   00098    0.4169  -33298.3385  0.3501 
   00099    0.4190  -33210.8943  0.3466 
   00100    0.4205  -33321.1137  0.3499 
