#=====================================================
# File created:        Tue-12-Mar-2024-at-11-03-36AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 1.000
# Run time (s):        2.881766
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2580.5730  0.2642 
   00001    0.6792   -3897.5981  0.2622 
   00002    0.6200   -4414.6887  0.2730 
   00003    0.5900   -4681.7510  0.2907 
   00004    0.5836   -4966.4863  0.2769 
   00005    0.5572   -5247.2446  0.2875 
   00006    0.5284   -5475.4600  0.2787 
   00007    0.5276   -5524.4537  0.2841 
   00008    0.5036   -5566.9160  0.2877 
   00009    0.4948   -5605.5485  0.2867 
   00010    0.5076   -5595.0152  0.2984 
   00011    0.5308   -5592.4752  0.3019 
   00012    0.5212   -5700.5236  0.3016 
   00013    0.5024   -5731.5052  0.2857 
   00014    0.5136   -5714.8253  0.2786 
   00015    0.5036   -5585.0599  0.2752 
   00016    0.5060   -5733.9095  0.2675 
   00017    0.5012   -5811.2438  0.2687 
   00018    0.5144   -5762.4063  0.2738 
   00019    0.5032   -5771.2325  0.2712 
   00020    0.5068   -5774.8131  0.2732 
   00021    0.5084   -5796.1910  0.2748 
   00022    0.4916   -5925.7197  0.2892 
   00023    0.4956   -6031.3546  0.2845 
   00024    0.4972   -6003.6035  0.2883 
   00025    0.4900   -5971.7965  0.2852 
   00026    0.4720   -5939.7093  0.2927 
   00027    0.4836   -5876.8026  0.2911 
   00028    0.4968   -5898.6858  0.2842 
   00029    0.5052   -5920.2796  0.2863 
   00030    0.5092   -5914.2691  0.2861 
   00031    0.4896   -5918.2001  0.2875 
   00032    0.4936   -5926.0395  0.2976 
   00033    0.4980   -5849.1080  0.2988 
   00034    0.4948   -5901.7911  0.2983 
   00035    0.4908   -5930.9448  0.3135 
   00036    0.5112   -5962.6761  0.3133 
   00037    0.4884   -5958.8338  0.2964 
   00038    0.4820   -5894.4120  0.2917 
   00039    0.5004   -5959.6864  0.2952 
   00040    0.4804   -5864.7900  0.2939 
   00041    0.4968   -5827.8141  0.2965 
   00042    0.5036   -5835.2294  0.2946 
   00043    0.5052   -5836.7231  0.3022 
   00044    0.5108   -5907.6743  0.3106 
   00045    0.4964   -5929.5883  0.3078 
   00046    0.5032   -5890.3847  0.3175 
   00047    0.4996   -5869.5290  0.3058 
   00048    0.5040   -5900.7518  0.3091 
   00049    0.4872   -5931.0800  0.3216 
   00050    0.4784   -5928.6753  0.3234 
