#=====================================================
# File created:        Tue-12-Mar-2024-at-10-56-48AM
# Size of lattice:     50x50
# Number of MC steps:  500
# Reduced temperature: 1.000
# Run time (s):        12.852286
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2615.6375  0.2737 
   00001    0.7008   -3759.7310  0.2670 
   00002    0.6212   -4321.3429  0.2591 
   00003    0.6036   -4741.2006  0.2682 
   00004    0.5732   -4972.7288  0.2704 
   00005    0.5560   -5155.4674  0.2773 
   00006    0.5444   -5222.7611  0.2753 
   00007    0.5472   -5214.9845  0.2903 
   00008    0.5388   -5404.8517  0.2791 
   00009    0.5260   -5479.7995  0.2824 
   00010    0.5160   -5627.3382  0.2892 
   00011    0.5152   -5574.5237  0.2869 
   00012    0.5108   -5649.4864  0.2939 
   00013    0.5160   -5656.8990  0.2941 
   00014    0.4960   -5697.2429  0.2907 
   00015    0.4900   -5846.7703  0.2867 
   00016    0.4900   -5820.7324  0.2894 
   00017    0.4920   -5812.3440  0.2840 
   00018    0.4976   -5881.2905  0.2845 
   00019    0.4988   -5847.9971  0.2814 
   00020    0.4920   -5933.1198  0.2794 
   00021    0.4876   -5885.5046  0.2922 
   00022    0.4916   -5873.0980  0.2884 
   00023    0.4988   -5917.3272  0.2801 
   00024    0.4856   -5953.0653  0.2761 
   00025    0.4860   -5948.8614  0.2740 
   00026    0.4984   -5838.4573  0.2763 
   00027    0.5204   -5792.8217  0.2650 
   00028    0.4932   -5881.6659  0.2652 
   00029    0.4788   -5920.7603  0.2641 
   00030    0.4876   -5960.3327  0.2803 
   00031    0.4800   -5971.4129  0.2715 
   00032    0.4904   -5998.3449  0.2837 
   00033    0.4900   -5914.2357  0.2872 
   00034    0.4964   -5922.5342  0.2740 
   00035    0.5004   -5897.8512  0.2786 
   00036    0.4888   -5930.3465  0.2809 
   00037    0.4956   -5909.6974  0.2762 
   00038    0.4936   -6007.5181  0.2646 
   00039    0.4916   -6002.3974  0.2641 
   00040    0.4996   -5992.7979  0.2702 
   00041    0.4940   -6027.5050  0.2851 
   00042    0.4704   -5893.6583  0.2914 
   00043    0.4956   -5848.4133  0.2884 
   00044    0.4920   -5837.6113  0.2847 
   00045    0.4852   -5874.6042  0.2933 
   00046    0.5108   -5980.9400  0.2876 
   00047    0.4892   -6047.1121  0.2984 
   00048    0.4936   -5998.9865  0.2949 
   00049    0.4848   -5942.8967  0.2852 
   00050    0.4864   -5881.7963  0.2849 
   00051    0.5020   -6002.3741  0.2699 
   00052    0.4792   -5948.3587  0.2664 
   00053    0.4912   -5975.2174  0.2761 
   00054    0.4840   -5944.8103  0.2848 
   00055    0.5016   -5925.0008  0.2994 
   00056    0.4928   -5838.2822  0.2952 
   00057    0.4832   -5937.9968  0.3001 
   00058    0.4872   -5904.5909  0.3023 
   00059    0.4768   -5935.7570  0.2973 
   00060    0.4868   -5940.2070  0.3036 
   00061    0.4700   -5934.2648  0.2931 
   00062    0.4856   -5914.6115  0.3023 
   00063    0.4916   -5916.5070  0.3129 
   00064    0.5012   -5931.1361  0.3168 
   00065    0.4796   -5982.9526  0.3090 
   00066    0.4816   -5947.5900  0.3210 
   00067    0.4892   -5928.8696  0.3161 
   00068    0.4720   -5910.8022  0.2988 
   00069    0.5016   -5853.2046  0.2943 
   00070    0.4960   -5832.2872  0.3045 
   00071    0.4984   -5873.1011  0.3078 
   00072    0.4916   -5950.8796  0.3108 
   00073    0.4832   -5896.5320  0.2963 
   00074    0.4764   -6020.0045  0.2950 
   00075    0.4772   -5963.2036  0.3046 
   00076    0.4824   -5944.2174  0.3214 
   00077    0.4848   -5950.7802  0.3294 
   00078    0.4808   -5968.4722  0.3226 
   00079    0.4880   -6004.1203  0.3321 
   00080    0.4884   -6021.6203  0.3373 
   00081    0.4896   -5940.7119  0.3306 
   00082    0.5040   -5941.0872  0.3430 
   00083    0.4860   -5888.2727  0.3375 
   00084    0.5020   -5879.0819  0.3217 
   00085    0.4776   -5944.0245  0.3168 
   00086    0.4972   -5955.6351  0.3233 
   00087    0.4896   -5998.4343  0.3405 
   00088    0.4720   -6081.0730  0.3357 
   00089    0.4824   -6023.6996  0.3385 
   00090    0.4800   -5996.0608  0.3399 
   00091    0.5088   -6098.5206  0.3506 
   00092    0.4784   -6054.1025  0.3681 
   00093    0.4856   -5958.8757  0.3634 
   00094    0.4864   -6004.7290  0.3549 
   00095    0.4796   -5919.6298  0.3570 
   00096    0.4884   -5893.5081  0.3622 
   00097    0.5024   -5838.5498  0.3653 
   00098    0.4968   -5889.3122  0.3683 
   00099    0.4900   -5828.3071  0.3754 
   00100    0.5040   -5877.6265  0.3770 
   00101    0.4836   -5910.5838  0.3832 
   00102    0.4992   -5929.2752  0.3780 
   00103    0.4920   -5934.0942  0.3753 
   00104    0.4752   -5945.2007  0.3687 
   00105    0.4944   -5915.8130  0.3768 
   00106    0.5004   -5841.2846  0.3691 
   00107    0.4876   -5771.3871  0.3909 
   00108    0.5168   -5736.1055  0.3939 
   00109    0.5060   -5834.6600  0.4030 
   00110    0.4980   -6023.3909  0.4003 
   00111    0.4844   -6055.7124  0.4050 
   00112    0.5056   -6003.4679  0.4072 
   00113    0.4664   -6117.4259  0.4077 
   00114    0.4864   -5993.6237  0.3913 
   00115    0.4764   -5981.0798  0.3895 
   00116    0.4876   -5933.3034  0.3865 
   00117    0.4964   -5841.7927  0.3869 
   00118    0.4952   -5913.7723  0.3823 
   00119    0.4924   -5909.3028  0.3786 
   00120    0.5064   -5910.5274  0.3892 
   00121    0.4772   -6028.6583  0.3898 
   00122    0.4820   -5985.7313  0.3875 
   00123    0.4868   -5969.7452  0.3888 
   00124    0.4896   -5926.9180  0.3739 
   00125    0.4984   -5953.6173  0.3673 
   00126    0.4680   -5858.6275  0.3756 
   00127    0.5068   -5899.5702  0.3690 
   00128    0.4828   -5958.2863  0.3614 
   00129    0.4876   -5874.4261  0.3495 
   00130    0.4908   -5945.6160  0.3407 
   00131    0.5180   -5904.2098  0.3369 
   00132    0.4976   -5858.1243  0.3285 
   00133    0.5080   -5908.3670  0.3167 
   00134    0.5188   -5958.6711  0.3265 
   00135    0.4980   -5964.3973  0.3339 
   00136    0.4868   -5929.8484  0.3156 
   00137    0.4996   -5878.0413  0.3138 
   00138    0.5072   -5828.6364  0.3230 
   00139    0.4872   -5837.6845  0.3186 
   00140    0.4980   -5849.2531  0.3112 
   00141    0.4944   -5828.2160  0.3131 
   00142    0.5096   -5852.4653  0.3001 
   00143    0.5020   -5884.8917  0.3163 
   00144    0.4836   -5853.1680  0.3259 
   00145    0.4836   -5890.4596  0.3233 
   00146    0.4900   -5930.7329  0.3188 
   00147    0.4964   -5855.2076  0.3174 
   00148    0.4844   -5864.8623  0.3115 
   00149    0.5080   -5829.6613  0.3277 
   00150    0.4988   -5940.2965  0.3216 
   00151    0.5032   -5925.1004  0.3233 
   00152    0.5196   -6024.0478  0.3288 
   00153    0.4908   -6044.8381  0.3283 
   00154    0.4872   -5965.5485  0.3310 
   00155    0.5024   -5949.8652  0.3297 
   00156    0.4956   -5969.8880  0.3375 
   00157    0.5044   -5953.2086  0.3393 
   00158    0.4780   -5961.1852  0.3389 
   00159    0.4832   -5950.2707  0.3476 
   00160    0.4964   -5981.9980  0.3409 
   00161    0.4948   -5987.1675  0.3480 
   00162    0.4928   -6009.5888  0.3317 
   00163    0.4836   -5977.3570  0.3262 
   00164    0.4764   -6039.3107  0.3270 
   00165    0.4900   -5854.8447  0.3141 
   00166    0.4940   -5931.5798  0.3181 
   00167    0.4880   -5947.4374  0.3137 
   00168    0.4856   -5987.0768  0.3094 
   00169    0.4908   -5978.5793  0.3072 
   00170    0.4868   -6004.4352  0.3173 
   00171    0.4864   -5990.2140  0.3270 
   00172    0.4888   -5890.6359  0.3161 
   00173    0.4932   -5950.6079  0.2946 
   00174    0.4968   -5895.1422  0.2834 
   00175    0.4900   -5921.0046  0.2916 
   00176    0.4920   -5902.9855  0.2805 
   00177    0.4788   -5907.3185  0.2775 
   00178    0.4780   -5999.7289  0.2797 
   00179    0.4980   -6034.6197  0.2850 
   00180    0.4748   -5982.5150  0.2814 
   00181    0.4772   -6022.9278  0.2690 
   00182    0.5048   -5978.1563  0.2749 
   00183    0.4984   -5964.6972  0.2582 
   00184    0.4880   -6005.0127  0.2598 
   00185    0.5188   -5937.6055  0.2622 
   00186    0.4876   -5908.4594  0.2570 
   00187    0.5080   -5851.0461  0.2653 
   00188    0.4844   -5782.7460  0.2674 
   00189    0.5076   -5847.4547  0.2835 
   00190    0.5044   -5813.3631  0.2895 
   00191    0.4980   -5848.9602  0.2862 
   00192    0.5068   -5783.0049  0.2957 
   00193    0.5096   -5782.7169  0.3013 
   00194    0.5032   -5795.4190  0.3017 
   00195    0.5036   -5830.1837  0.3009 
   00196    0.5052   -5754.3988  0.3051 
   00197    0.5056   -5847.2907  0.3227 
   00198    0.5072   -5868.0484  0.3112 
   00199    0.5028   -5936.7788  0.3162 
   00200    0.4764   -5896.0298  0.3068 
   00201    0.4736   -5798.5957  0.3008 
   00202    0.5152   -5813.8986  0.3113 
   00203    0.4884   -5819.1463  0.3126 
   00204    0.4944   -5850.3313  0.3152 
   00205    0.4876   -5915.7177  0.3204 
   00206    0.5064   -5861.8828  0.3160 
   00207    0.4832   -5883.8620  0.3138 
   00208    0.4988   -5750.8546  0.3057 
   00209    0.4980   -5752.2812  0.3128 
   00210    0.5120   -5759.1861  0.3165 
   00211    0.5028   -5860.0369  0.3266 
   00212    0.4824   -5850.1103  0.3263 
   00213    0.4760   -5914.8367  0.3341 
   00214    0.4900   -5926.9668  0.3356 
   00215    0.4692   -5950.6052  0.3457 
   00216    0.4756   -5941.6323  0.3485 
   00217    0.5012   -5970.2833  0.3519 
   00218    0.4836   -5932.2198  0.3538 
   00219    0.4980   -5872.0907  0.3514 
   00220    0.5012   -5980.3524  0.3427 
