#=====================================================
# File created:        Tue-12-Mar-2024-at-12-35-27PM
# Size of lattice:     50x50
# Number of MC steps:  500
# Reduced temperature: 0.500
# Run time (s):        33.740798
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2470.1759  0.7690 
   00001    0.6884   -3681.2770  0.7823 
   00002    0.6232   -4408.5058  0.7727 
   00003    0.5984   -4998.8409  0.7779 
   00004    0.5524   -5467.6049  0.7791 
   00005    0.5460   -5815.3783  0.7828 
   00006    0.5252   -6148.8894  0.7920 
   00007    0.5084   -6359.8751  0.7871 
   00008    0.4948   -6551.3061  0.7981 
   00009    0.4920   -6697.1591  0.7927 
   00010    0.4740   -6833.9590  0.8001 
   00011    0.4808   -6855.9528  0.8107 
   00012    0.4704   -6955.1698  0.8093 
   00013    0.4636   -7077.0618  0.8178 
   00014    0.4604   -7130.1434  0.8186 
   00015    0.4868   -7215.0120  0.8190 
   00016    0.4632   -7297.5779  0.8260 
   00017    0.4548   -7348.8642  0.8273 
   00018    0.4344   -7393.4021  0.8307 
   00019    0.4620   -7502.2113  0.8367 
   00020    0.4488   -7606.4164  0.8337 
   00021    0.4600   -7621.9006  0.8380 
   00022    0.4572   -7699.4135  0.8393 
   00023    0.4376   -7782.2763  0.8330 
   00024    0.4412   -7810.5397  0.8368 
   00025    0.4244   -7865.9883  0.8387 
   00026    0.4268   -7914.4409  0.8439 
   00027    0.4280   -7897.4557  0.8425 
   00028    0.4204   -7949.1218  0.8467 
   00029    0.4284   -7939.9752  0.8416 
   00030    0.4164   -7939.3937  0.8487 
   00031    0.4312   -7996.5441  0.8488 
   00032    0.4404   -8013.2522  0.8468 
   00033    0.4384   -8026.6536  0.8443 
   00034    0.4328   -8024.0909  0.8464 
   00035    0.4172   -8033.5732  0.8456 
   00036    0.4224   -8079.6967  0.8403 
   00037    0.4280   -8061.7341  0.8380 
   00038    0.4252   -8076.5910  0.8446 
   00039    0.4216   -8067.7704  0.8421 
   00040    0.4248   -8076.0665  0.8462 
   00041    0.4416   -8094.2646  0.8493 
   00042    0.4432   -8081.1673  0.8448 
   00043    0.4304   -8075.6813  0.8490 
   00044    0.4272   -8048.4448  0.8521 
   00045    0.4376   -8042.1279  0.8459 
   00046    0.4084   -8047.6835  0.8419 
   00047    0.4140   -8056.8541  0.8416 
   00048    0.4084   -8025.9047  0.8378 
   00049    0.4352   -8043.0369  0.8433 
   00050    0.4312   -8016.7287  0.8436 
   00051    0.4348   -8055.9028  0.8374 
   00052    0.4232   -8104.0020  0.8467 
   00053    0.4200   -8089.9631  0.8544 
   00054    0.4200   -8148.0517  0.8528 
   00055    0.4332   -8166.2603  0.8606 
   00056    0.4316   -8157.4692  0.8513 
   00057    0.4200   -8155.9112  0.8532 
   00058    0.4212   -8174.1960  0.8584 
   00059    0.4212   -8177.1644  0.8536 
   00060    0.4012   -8182.8445  0.8562 
   00061    0.4308   -8149.2452  0.8569 
   00062    0.4180   -8155.5671  0.8653 
   00063    0.4284   -8161.1095  0.8646 
   00064    0.4224   -8186.3226  0.8635 
   00065    0.4264   -8178.2427  0.8642 
   00066    0.4208   -8196.1734  0.8666 
   00067    0.4180   -8184.5219  0.8682 
   00068    0.4280   -8198.8536  0.8695 
   00069    0.4300   -8182.1892  0.8749 
   00070    0.4264   -8212.0669  0.8760 
   00071    0.4272   -8193.8699  0.8768 
   00072    0.4296   -8210.2438  0.8737 
   00073    0.4168   -8250.3459  0.8811 
   00074    0.4268   -8252.6100  0.8698 
   00075    0.4052   -8236.3231  0.8663 
   00076    0.4244   -8235.4535  0.8718 
   00077    0.4212   -8252.1675  0.8694 
   00078    0.4140   -8289.1488  0.8660 
   00079    0.4164   -8277.0942  0.8696 
   00080    0.4356   -8255.9616  0.8656 
   00081    0.4320   -8229.4027  0.8659 
   00082    0.4324   -8213.1043  0.8663 
   00083    0.4220   -8236.5455  0.8564 
   00084    0.4092   -8195.5270  0.8544 
   00085    0.4316   -8137.1455  0.8521 
   00086    0.4340   -8150.2025  0.8558 
   00087    0.4104   -8146.6007  0.8592 
   00088    0.4336   -8182.6115  0.8567 
   00089    0.4080   -8146.5567  0.8595 
   00090    0.4344   -8215.0353  0.8606 
   00091    0.4388   -8265.0931  0.8655 
   00092    0.4320   -8282.4503  0.8644 
   00093    0.4328   -8232.8106  0.8596 
   00094    0.4228   -8259.8973  0.8569 
   00095    0.4072   -8298.4563  0.8561 
   00096    0.4172   -8304.2597  0.8584 
   00097    0.4268   -8344.0940  0.8568 
   00098    0.4356   -8310.2016  0.8595 
   00099    0.4280   -8303.0918  0.8596 
   00100    0.4020   -8317.2644  0.8609 
   00101    0.4188   -8285.7319  0.8581 
   00102    0.3924   -8319.9215  0.8596 
   00103    0.4264   -8327.2942  0.8661 
   00104    0.4196   -8310.8869  0.8773 
   00105    0.4264   -8384.4959  0.8737 
   00106    0.4152   -8369.8518  0.8746 
   00107    0.4436   -8374.5309  0.8741 
   00108    0.4200   -8379.5102  0.8762 
   00109    0.4080   -8384.5749  0.8725 
   00110    0.4148   -8362.1563  0.8739 
   00111    0.4208   -8297.0030  0.8746 
   00112    0.4148   -8317.8890  0.8798 
   00113    0.4188   -8338.9464  0.8874 
   00114    0.4144   -8359.5632  0.8852 
   00115    0.4196   -8388.9430  0.8839 
   00116    0.4208   -8328.6117  0.8805 
   00117    0.4176   -8389.2562  0.8795 
   00118    0.4224   -8405.2001  0.8825 
   00119    0.4112   -8394.2649  0.8744 
   00120    0.4144   -8345.9985  0.8770 
   00121    0.4124   -8308.9376  0.8782 
   00122    0.4156   -8290.7471  0.8725 
   00123    0.4136   -8306.9503  0.8737 
   00124    0.4240   -8317.7913  0.8817 
   00125    0.4256   -8296.6714  0.8795 
   00126    0.4172   -8267.8165  0.8793 
   00127    0.4144   -8282.0858  0.8810 
   00128    0.4284   -8315.8911  0.8842 
   00129    0.4108   -8295.5078  0.8853 
