#=====================================================
# File created:        Tue-12-Mar-2024-at-06-32-13PM
# Size of lattice:     50x50
# Number of MC steps:  800
# Reduced temperature: 1.000
# Run time (s):        6.516348
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2565.6913  0.2561 
   00001    0.7012   -3722.1355  0.2515 
   00002    0.6376   -4444.4488  0.2517 
   00003    0.6048   -4681.6474  0.2541 
   00004    0.5720   -4847.2920  0.2519 
   00005    0.5728   -5073.4082  0.2534 
   00006    0.5440   -5245.9932  0.2541 
   00007    0.5116   -5482.0325  0.2552 
   00008    0.5060   -5478.1046  0.2579 
   00009    0.5116   -5571.0268  0.2572 
   00010    0.5188   -5555.6044  0.2624 
   00011    0.5024   -5585.1040  0.2620 
   00012    0.4996   -5680.6699  0.2629 
   00013    0.5488   -5669.0720  0.2667 
   00014    0.5120   -5721.1376  0.2682 
   00015    0.5036   -5586.3667  0.2648 
   00016    0.5140   -5729.3526  0.2660 
   00017    0.5100   -5722.3696  0.2624 
   00018    0.5144   -5875.3119  0.2628 
   00019    0.5132   -5917.5080  0.2654 
   00020    0.4992   -5931.2943  0.2654 
   00021    0.4736   -6017.0706  0.2687 
   00022    0.4820   -5937.0006  0.2688 
   00023    0.4968   -5928.1586  0.2682 
   00024    0.5084   -5831.5324  0.2678 
   00025    0.5092   -5890.9983  0.2656 
   00026    0.4908   -5965.7347  0.2660 
   00027    0.4916   -5864.2932  0.2622 
   00028    0.5068   -5792.4036  0.2645 
   00029    0.4904   -5814.5641  0.2637 
   00030    0.4936   -5735.4379  0.2640 
   00031    0.4932   -5784.4513  0.2624 
   00032    0.5208   -5808.5190  0.2620 
   00033    0.4976   -5796.9481  0.2643 
   00034    0.4820   -5766.8152  0.2669 
   00035    0.5044   -5874.4763  0.2629 
   00036    0.5012   -5851.1129  0.2634 
   00037    0.4956   -5946.4196  0.2650 
   00038    0.5004   -5945.5561  0.2635 
   00039    0.4876   -5924.6799  0.2627 
   00040    0.4796   -5960.7344  0.2650 
   00041    0.5132   -5939.0681  0.2617 
   00042    0.4976   -6003.2509  0.2618 
   00043    0.4844   -5897.0979  0.2596 
   00044    0.4872   -5975.8303  0.2577 
   00045    0.4696   -6007.6127  0.2541 
   00046    0.4828   -5991.8654  0.2557 
   00047    0.4860   -5876.7771  0.2566 
   00048    0.5196   -5744.0694  0.2632 
   00049    0.5112   -5851.9310  0.2670 
   00050    0.4908   -5919.4825  0.2664 
   00051    0.4928   -5882.9532  0.2636 
   00052    0.4924   -5874.6362  0.2587 
   00053    0.5056   -5872.3942  0.2595 
   00054    0.4968   -5876.4819  0.2607 
   00055    0.4788   -5829.8476  0.2597 
   00056    0.4888   -5877.2863  0.2592 
   00057    0.4840   -5838.8869  0.2568 
   00058    0.4944   -5841.1490  0.2547 
   00059    0.5044   -5813.2097  0.2541 
   00060    0.5164   -5767.9529  0.2533 
   00061    0.5056   -5773.8192  0.2547 
   00062    0.5128   -5805.7288  0.2617 
   00063    0.5044   -5877.5002  0.2615 
   00064    0.4780   -5822.4587  0.2653 
   00065    0.4916   -5856.8015  0.2661 
   00066    0.4980   -5911.9903  0.2657 
   00067    0.4948   -5886.2495  0.2634 
   00068    0.4884   -5808.2355  0.2631 
   00069    0.4940   -5874.8071  0.2669 
   00070    0.4696   -5841.0893  0.2712 
   00071    0.4816   -5919.9461  0.2750 
   00072    0.4892   -5977.3888  0.2785 
   00073    0.5032   -6020.4391  0.2789 
   00074    0.5008   -5995.8071  0.2785 
   00075    0.5004   -5978.4839  0.2766 
   00076    0.4796   -6003.5233  0.2721 
   00077    0.4836   -5905.1187  0.2754 
   00078    0.4732   -5949.5928  0.2741 
   00079    0.5112   -5957.6253  0.2751 
   00080    0.4908   -5916.7465  0.2688 
   00081    0.5036   -5863.3333  0.2672 
   00082    0.5096   -5883.6941  0.2694 
   00083    0.4872   -5882.4453  0.2666 
   00084    0.4916   -5923.6334  0.2693 
   00085    0.4976   -5886.9152  0.2700 
   00086    0.4972   -5799.3880  0.2707 
   00087    0.4936   -5806.1799  0.2681 
   00088    0.5016   -5744.2379  0.2660 
   00089    0.5160   -5750.6243  0.2652 
   00090    0.5088   -5769.6052  0.2660 
   00091    0.4912   -5771.6007  0.2643 
   00092    0.4908   -5850.2740  0.2619 
   00093    0.4904   -5789.2923  0.2594 
   00094    0.5136   -5789.1475  0.2590 
   00095    0.4920   -5718.4967  0.2612 
   00096    0.4940   -5814.9587  0.2642 
   00097    0.4960   -5779.5313  0.2625 
   00098    0.5000   -5807.1246  0.2601 
   00099    0.4824   -5759.7978  0.2596 
   00100    0.5080   -5796.8487  0.2610 
   00101    0.5080   -5864.1687  0.2611 
   00102    0.4776   -5913.0547  0.2617 
   00103    0.4972   -6035.6092  0.2623 
   00104    0.4880   -6029.8281  0.2636 
   00105    0.4804   -6003.6904  0.2631 
   00106    0.4776   -6126.5469  0.2649 
   00107    0.4836   -6147.7376  0.2588 
   00108    0.4964   -6138.9907  0.2561 
   00109    0.4720   -6073.9071  0.2547 
   00110    0.4820   -6016.0055  0.2532 
   00111    0.5008   -5951.3518  0.2558 
   00112    0.4956   -6013.9948  0.2601 
   00113    0.4804   -6007.7197  0.2602 
   00114    0.4760   -5979.7572  0.2567 
   00115    0.4684   -5980.3854  0.2549 
   00116    0.4812   -5894.9387  0.2568 
   00117    0.4920   -5926.4322  0.2572 
   00118    0.4888   -6004.7096  0.2627 
   00119    0.5016   -6057.9355  0.2618 
   00120    0.4768   -5961.2036  0.2580 
   00121    0.4872   -5892.5911  0.2591 
   00122    0.5044   -5827.4671  0.2599 
   00123    0.4760   -5844.5623  0.2632 
   00124    0.5132   -5827.6505  0.2615 
   00125    0.4912   -5824.8144  0.2659 
   00126    0.4892   -5836.2155  0.2725 
   00127    0.5040   -5850.2429  0.2703 
   00128    0.4948   -5943.2021  0.2728 
   00129    0.4984   -5885.1078  0.2724 
   00130    0.4912   -5976.6691  0.2699 
   00131    0.4916   -5916.2084  0.2725 
   00132    0.5156   -5855.0545  0.2706 
   00133    0.5028   -5856.2231  0.2711 
   00134    0.5008   -5810.6085  0.2754 
   00135    0.5036   -5804.2946  0.2764 
   00136    0.5028   -5878.9051  0.2796 
   00137    0.5052   -5912.5133  0.2785 
   00138    0.4880   -6010.3690  0.2767 
