#=====================================================
# File created:        Tue-12-Mar-2024-at-01-00-26PM
# Size of lattice:     50x50
# Number of MC steps:  400
# Reduced temperature: 1.000
# Run time (s):        16.113933
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2626.4406  0.7539 
   00001    0.6996   -3880.8378  0.7577 
   00002    0.6248   -4428.5478  0.7803 
   00003    0.5852   -4746.1244  0.7756 
   00004    0.5560   -5083.4129  0.7659 
   00005    0.5572   -5142.4721  0.7593 
   00006    0.5448   -5201.1385  0.7652 
   00007    0.5556   -5312.7624  0.7705 
   00008    0.5336   -5399.7292  0.7655 
   00009    0.5404   -5505.0255  0.7755 
   00010    0.5120   -5638.0664  0.7786 
   00011    0.5080   -5614.0275  0.7941 
   00012    0.5024   -5719.2672  0.7976 
   00013    0.5192   -5819.7767  0.8009 
   00014    0.5088   -5910.7015  0.7919 
   00015    0.4900   -5796.0534  0.7923 
   00016    0.5024   -5700.5293  0.7941 
   00017    0.5100   -5751.6180  0.7854 
   00018    0.5112   -5844.5775  0.7905 
   00019    0.4784   -5822.8799  0.7875 
   00020    0.4860   -5787.6792  0.7941 
   00021    0.5156   -5663.8076  0.7950 
   00022    0.5024   -5745.2514  0.7891 
   00023    0.5036   -5670.1533  0.7961 
   00024    0.5004   -5691.6633  0.7839 
   00025    0.4936   -5786.0936  0.7811 
   00026    0.4856   -5788.2568  0.7776 
   00027    0.5028   -5772.9016  0.7786 
   00028    0.4932   -5787.8170  0.7586 
   00029    0.5052   -5800.1161  0.7615 
   00030    0.5076   -5782.2470  0.7605 
   00031    0.5044   -5836.7632  0.7787 
   00032    0.4988   -5889.8070  0.7676 
   00033    0.4968   -5913.4955  0.7575 
   00034    0.5044   -5802.5314  0.7557 
   00035    0.5068   -5777.3826  0.7588 
   00036    0.5080   -5760.9805  0.7690 
   00037    0.4928   -5866.8043  0.7655 
   00038    0.4936   -5910.2479  0.7696 
   00039    0.4832   -6030.8612  0.7785 
   00040    0.4896   -6014.7044  0.7659 
   00041    0.5088   -6025.5858  0.7835 
   00042    0.4852   -6088.3887  0.7750 
   00043    0.4752   -6062.5744  0.7846 
   00044    0.4932   -6120.5188  0.7826 
   00045    0.4876   -6058.1492  0.7744 
   00046    0.4916   -6035.1705  0.7822 
   00047    0.4868   -6056.1549  0.7865 
   00048    0.4820   -5941.5746  0.7876 
   00049    0.4904   -6038.0072  0.7854 
   00050    0.5000   -5985.2200  0.7727 
   00051    0.4852   -5934.1084  0.7763 
   00052    0.5016   -5903.8565  0.7837 
   00053    0.4852   -5947.6078  0.7731 
   00054    0.4916   -5948.8848  0.7668 
   00055    0.4992   -5944.4514  0.7637 
   00056    0.4852   -5920.1608  0.7640 
   00057    0.5104   -5970.3507  0.7673 
   00058    0.4988   -5975.5686  0.7814 
   00059    0.4844   -6081.9671  0.7797 
   00060    0.4628   -6086.0973  0.7849 
   00061    0.4812   -6114.0624  0.7814 
   00062    0.4936   -6056.9060  0.7913 
   00063    0.4828   -6084.4685  0.7952 
   00064    0.4704   -6070.3043  0.8042 
   00065    0.4776   -6091.1678  0.8088 
   00066    0.4732   -6071.9157  0.7990 
   00067    0.4884   -5912.0713  0.7870 
   00068    0.4900   -5974.8149  0.7910 
   00069    0.4920   -5940.8604  0.7983 
   00070    0.4792   -6032.4358  0.7959 
   00071    0.4764   -5922.9119  0.7954 
   00072    0.4912   -6043.5975  0.8018 
   00073    0.4852   -6085.6783  0.8152 
   00074    0.4936   -6047.5651  0.8110 
   00075    0.4804   -5962.3712  0.8109 
   00076    0.4876   -5944.8933  0.8093 
   00077    0.4904   -5778.3555  0.7957 
   00078    0.5272   -5768.4165  0.8006 
   00079    0.4924   -5795.1590  0.8017 
   00080    0.4940   -5793.3013  0.8202 
   00081    0.5208   -5756.3775  0.8151 
   00082    0.4900   -5786.5655  0.8142 
   00083    0.5096   -5799.3215  0.8202 
   00084    0.5112   -5827.6337  0.8210 
   00085    0.5036   -5840.1753  0.8151 
   00086    0.4928   -5918.4983  0.8057 
   00087    0.4972   -5870.9972  0.8109 
   00088    0.5096   -5835.4892  0.7942 
   00089    0.5144   -5831.0825  0.7954 
   00090    0.4984   -5767.4579  0.7936 
   00091    0.4996   -5821.7295  0.7903 
   00092    0.4952   -5871.8807  0.8014 
   00093    0.5000   -5735.8409  0.7998 
   00094    0.4968   -5734.5558  0.8069 
   00095    0.4896   -5919.5590  0.8043 
   00096    0.4920   -5798.7407  0.8034 
   00097    0.5120   -5630.5836  0.8236 
   00098    0.5024   -5630.4768  0.8337 
   00099    0.5136   -5717.6180  0.8446 
   00100    0.5032   -5739.1321  0.8337 
   00101    0.5024   -5748.4643  0.8513 
   00102    0.4944   -5801.1828  0.8569 
   00103    0.4752   -5831.4504  0.8511 
   00104    0.4912   -5924.3662  0.8475 
   00105    0.5056   -5919.3024  0.8495 
   00106    0.4772   -5953.5411  0.8353 
   00107    0.4856   -5915.6022  0.8427 
   00108    0.4888   -5929.1741  0.8411 
   00109    0.4904   -5957.1240  0.8348 
   00110    0.4856   -5989.6648  0.8352 
   00111    0.4800   -5934.3863  0.8423 
   00112    0.4952   -5802.9110  0.8472 
   00113    0.4932   -5808.3583  0.8463 
   00114    0.4924   -5854.4225  0.8487 
   00115    0.4876   -5924.0718  0.8568 
   00116    0.4972   -5961.9686  0.8498 
   00117    0.4900   -5882.6164  0.8470 
   00118    0.5068   -5859.1880  0.8405 
   00119    0.4940   -5960.2695  0.8603 
   00120    0.4876   -5966.3209  0.8500 
   00121    0.4896   -5801.0611  0.8466 
   00122    0.4964   -5844.1251  0.8494 
   00123    0.4996   -5946.8749  0.8566 
   00124    0.4964   -5802.3941  0.8433 
   00125    0.4920   -5902.2268  0.8432 
   00126    0.4916   -5852.6592  0.8511 
   00127    0.5164   -5877.9100  0.8495 
   00128    0.5032   -5953.5982  0.8584 
   00129    0.4984   -5852.4996  0.8528 
   00130    0.5068   -5834.3027  0.8461 
   00131    0.4980   -5905.6750  0.8549 
   00132    0.4860   -5906.1539  0.8364 
   00133    0.4936   -5987.1285  0.8514 
   00134    0.4820   -5988.9072  0.8532 
   00135    0.4772   -6139.8766  0.8610 
   00136    0.4804   -6099.8231  0.8680 
   00137    0.4784   -6125.4027  0.8610 
   00138    0.4824   -6081.0854  0.8667 
   00139    0.4796   -5939.2892  0.8631 
   00140    0.4804   -5936.2973  0.8612 
   00141    0.4844   -5902.5657  0.8655 
   00142    0.4960   -5990.7702  0.8649 
   00143    0.4920   -5888.3050  0.8719 
   00144    0.4864   -5912.3396  0.8692 
   00145    0.4984   -5936.7592  0.8689 
   00146    0.4916   -5907.6168  0.8733 
   00147    0.4848   -5939.0233  0.8652 
   00148    0.4940   -5880.0076  0.8643 
   00149    0.4992   -5875.0216  0.8576 
   00150    0.5080   -5949.5953  0.8499 
   00151    0.4840   -5853.9866  0.8596 
   00152    0.4932   -5857.2487  0.8526 
   00153    0.4996   -5750.3514  0.8450 
   00154    0.4972   -5761.9947  0.8527 
   00155    0.4848   -5780.3641  0.8507 
   00156    0.5108   -5760.4179  0.8589 
   00157    0.4956   -5795.3760  0.8555 
   00158    0.5056   -5739.8123  0.8453 
   00159    0.5104   -5799.3878  0.8444 
   00160    0.4996   -5761.3940  0.8518 
   00161    0.5000   -5889.5228  0.8682 
   00162    0.4988   -5846.1364  0.8680 
   00163    0.4916   -5886.3597  0.8687 
   00164    0.4948   -5957.8059  0.8661 
   00165    0.4932   -5894.8979  0.8558 
   00166    0.5052   -6018.1733  0.8741 
   00167    0.4996   -6048.7343  0.8734 
   00168    0.4696   -6175.2282  0.8681 
   00169    0.4732   -6185.1225  0.8577 
   00170    0.4700   -6149.3286  0.8513 
   00171    0.4772   -6097.2326  0.8424 
   00172    0.4840   -6074.2325  0.8311 
   00173    0.4860   -5983.6458  0.8196 
   00174    0.4924   -5906.3844  0.8092 
   00175    0.4984   -6015.6237  0.8057 
