LebwohlLasher: Size: 100, Steps: 100, T*: 0.500: Order: 0.285, Time: 15.012627 s
         1711309 function calls (1688914 primitive calls) in 22.068 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      322    0.003    0.000    0.072    0.000 <frozen importlib._bootstrap_external>:914(get_code)
      111    0.003    0.000    0.003    0.000 {method 'globalsetvar' of '_tkinter.tkapp' objects}
     3501    0.003    0.000    0.004    0.000 __init__.py:101(check_in_list)
      405    0.003    0.000    0.007    0.000 transforms.py:754(__init__)
     1507    0.003    0.000    0.009    0.000 __init__.py:1553(getint_event)
  783/714    0.003    0.000    0.034    0.000 inspect.py:2218(_signature_from_callable)
       38    0.003    0.000    0.003    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
      382    0.003    0.000    0.004    0.000 transforms.py:2054(scale)
     3587    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
      814    0.003    0.000    0.005    0.000 functools.py:34(update_wrapper)
     1191    0.003    0.000    0.011    0.000 copy.py:258(_reconstruct)
     6225    0.003    0.000    0.003    0.000 {method 'format' of 'str' objects}
     5304    0.003    0.000    0.038    0.000 re.py:198(search)
      512    0.003    0.000    0.004    0.000 __init__.py:1736(normalize_kwargs)
      127    0.003    0.000    0.003    0.000 transforms.py:379(bounds)
      644    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
      314    0.003    0.000    0.011    0.000 overrides.py:170(decorator)
      400    0.003    0.000    0.078    0.000 <frozen importlib._bootstrap>:890(_find_spec)
      585    0.003    0.000    0.019    0.000 transforms.py:1835(frozen)
      322    0.003    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1034(get_data)
     7894    0.003    0.000    0.003    0.000 enum.py:631(__new__)
     3587    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
      107    0.003    0.000    0.085    0.001 backend_bases.py:1339(__init__)
      805    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      108    0.002    0.000    0.021    0.000 lines.py:274(__init__)
     1360    0.002    0.000    0.003    0.000 __init__.py:2004(_setattr_cm)
       36    0.002    0.000    0.046    0.001 axis.py:58(__init__)
      103    0.002    0.000    0.115    0.001 _backend_tk.py:293(motion_notify_event)
      103    0.002    0.000    0.084    0.001 backend_bases.py:1430(__init__)
   412/12    0.002    0.000    0.685    0.057 <frozen importlib._bootstrap>:986(_find_and_load)
      252    0.002    0.000    0.004    0.000 artist.py:180(__init__)
      139    0.002    0.000    0.003    0.000 __init__.py:1494(nametowidget)
 1287/423    0.002    0.000    0.003    0.000 sre_parse.py:174(getwidth)
      107    0.002    0.000    0.075    0.001 patches.py:158(contains_point)
