LebwohlLasher.py: Size: 200, Steps: 200, T*: 0.500: Order: 0.300, Time: 214.570813 s
         33447152 function calls (33423566 primitive calls) in 229.546 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 24040000  131.314    0.000  131.314    0.000 LebwohlLasher.py:131(one_energy)
      201   48.818    0.243   48.896    0.243 LebwohlLasher.py:182(get_order)
      200   20.386    0.102  124.767    0.624 LebwohlLasher.py:210(MC_step)
  6257515   12.421    0.000   12.421    0.000 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
        2   12.223    6.112   13.447    6.724 {method 'mainloop' of '_tkinter.tkapp' objects}
      201    1.814    0.009   41.479    0.206 LebwohlLasher.py:165(all_energy)
        2    0.190    0.095    0.219    0.110 {method 'draw_path_collection' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      200    0.187    0.001    0.187    0.001 {method 'normal' of 'numpy.random.mtrand.RandomState' objects}
    80110    0.157    0.000    0.259    0.000 __init__.py:134(check_shape)
      400    0.117    0.000    0.124    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
    80104    0.105    0.000    0.616    0.000 path.py:99(__init__)
      410    0.088    0.000    0.100    0.000 {method 'call' of '_tkinter.tkapp' objects}
        2    0.083    0.041    0.083    0.041 {built-in method _tkinter.create}
    80104    0.077    0.000    0.197    0.000 path.py:202(_update_values)
     1576    0.065    0.000    0.065    0.000 {built-in method posix.stat}
   167067    0.060    0.000    0.118    0.000 __init__.py:729(__getitem__)
     6796    0.051    0.000    0.087    0.000 inspect.py:625(cleandoc)
        4    0.050    0.013    0.664    0.166 collections.py:1195(<listcomp>)
3755/2284    0.049    0.000    0.144    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
        2    0.048    0.024    0.097    0.049 quiver.py:607(_make_verts)
      322    0.046    0.000    0.046    0.000 {built-in method marshal.loads}
    80790    0.043    0.000    0.083    0.000 {built-in method builtins.any}
   167382    0.039    0.000    0.059    0.000 __init__.py:678(_get)
   240330    0.039    0.000    0.039    0.000 __init__.py:154(<genexpr>)
    80318    0.033    0.000    0.057    0.000 __init__.py:1337(_to_unmasked_float_array)
382081/380966    0.031    0.000    0.032    0.000 {built-in method builtins.len}
       34    0.026    0.001    0.027    0.001 {built-in method _imp.create_dynamic}
1238/1125    0.020    0.000    0.346    0.000 {built-in method builtins.__build_class__}
   167387    0.019    0.000    0.019    0.000 {function RcParams.__getitem__ at 0x7f54352d0d30}
     9273    0.019    0.000    0.019    0.000 {method 'search' of 're.Pattern' objects}
      428    0.018    0.000    0.018    0.000 {built-in method builtins.dir}
        4    0.017    0.004    0.017    0.004 {method 'repeat' of 'numpy.ndarray' objects}
    81524    0.016    0.000    0.016    0.000 {built-in method numpy.asarray}
    72852    0.016    0.000    0.018    0.000 {built-in method builtins.getattr}
        2    0.015    0.007    0.034    0.017 quiver.py:665(_h_arrows)
92575/92534    0.014    0.000    0.017    0.000 {built-in method builtins.hasattr}
      201    0.013    0.000    0.026    0.000 linalg.py:1168(eig)
        2    0.013    0.006    0.013    0.006 function_base.py:1602(angle)
     1991    0.012    0.000    0.012    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     4050    0.012    0.000    0.134    0.000 artist.py:1474(get_valid_values)
      213    0.011    0.000    0.038    0.000 artist.py:1521(get_setters)
        1    0.010    0.010    0.010    0.010 image.py:1420(BboxImage)
    70615    0.010    0.000    0.014    0.000 {built-in method builtins.isinstance}
    88078    0.010    0.000    0.010    0.000 {method 'startswith' of 'str' objects}
      213    0.010    0.000    0.059    0.000 artist.py:1446(get_aliases)
    92404    0.010    0.000    0.010    0.000 {method 'items' of 'dict' objects}
      213    0.010    0.000    0.019    0.000 artist.py:1457(<listcomp>)
  5068/84    0.009    0.000    0.020    0.000 copy.py:128(deepcopy)
    80232    0.009    0.000    0.009    0.000 path.py:211(vertices)
  483/211    0.008    0.000    0.021    0.000 sre_parse.py:493(_parse)
        4    0.008    0.002    0.013    0.003 linalg.py:469(inv)
    52377    0.008    0.000    0.008    0.000 {built-in method builtins.min}
      671    0.008    0.000    0.087    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
    80072    0.008    0.000    0.008    0.000 path.py:244(simplify_threshold)
    74061    0.007    0.000    0.007    0.000 {method 'lstrip' of 'str' objects}
     6509    0.007    0.000    0.012    0.000 inspect.py:2489(__init__)
     7988    0.007    0.000    0.049    0.000 re.py:289(_compile)
      971    0.007    0.000    0.009    0.000 inspect.py:2772(__init__)
    80120    0.007    0.000    0.007    0.000 path.py:225(codes)
16010/16001    0.007    0.000    0.008    0.000 {method 'join' of 'str' objects}
        4    0.006    0.002    0.671    0.168 collections.py:1175(set_verts)
    80072    0.006    0.000    0.006    0.000 path.py:256(should_simplify)
     8529    0.006    0.000    0.006    0.000 {method 'split' of 'str' objects}
        2    0.006    0.003    0.006    0.003 {built-in method matplotlib.backends._tkagg.blit}
8892/7782    0.006    0.000    0.010    0.000 artist.py:319(stale)
        2    0.006    0.003   13.708    6.854 LebwohlLasher.py:47(plotdat)
      694    0.006    0.000    0.016    0.000 inspect.py:2124(_signature_from_function)
       36    0.006    0.000    0.009    0.000 enum.py:157(__new__)
     6764    0.005    0.000    0.082    0.000 inspect.py:606(getdoc)
      322    0.005    0.000    0.005    0.000 {built-in method io.open_code}
        1    0.005    0.005    0.005    0.005 numbers.py:147(Real)
      512    0.005    0.000    0.005    0.000 {method 'astype' of 'numpy.ndarray' objects}
      112    0.005    0.000    0.164    0.001 artist.py:1602(pprint_setters)
        4    0.005    0.001    0.005    0.001 {built-in method matplotlib._c_internal_utils.display_is_valid}
       48    0.005    0.000    0.005    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
      674    0.004    0.000    0.021    0.000 artist.py:1180(_update_props)
     4050    0.004    0.000    0.009    0.000 artist.py:1559(aliased_name)
      592    0.004    0.000    0.004    0.000 {method 'read' of '_io.BufferedReader' objects}
 1076/208    0.004    0.000    0.010    0.000 sre_compile.py:71(_compile)
       84    0.004    0.000    0.023    0.000 text.py:363(_get_layout)
     7892    0.004    0.000    0.008    0.000 enum.py:313(__call__)
        6    0.004    0.001    0.004    0.001 numeric.py:2536(extend_all)
