#=====================================================
# File created:        Fri-08-Mar-2024-at-02-44-45PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.018466
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2573.0308  0.2748 
   00001    0.6552   -3297.3367  0.2749 
   00002    0.5816   -3759.8095  0.2771 
   00003    0.5436   -4147.7451  0.2804 
   00004    0.5512   -4453.6095  0.2835 
   00005    0.4908   -4635.1479  0.2683 
   00006    0.4728   -4838.5882  0.2657 
   00007    0.4688   -5062.7159  0.2691 
   00008    0.4848   -5235.7167  0.2652 
   00009    0.4388   -5294.8238  0.2648 
   00010    0.4516   -5479.4261  0.2688 
   00011    0.4256   -5474.1899  0.2792 
   00012    0.4564   -5553.8478  0.2925 
   00013    0.4040   -5641.1036  0.2936 
   00014    0.4092   -5700.5338  0.2911 
   00015    0.4172   -5744.7135  0.2898 
   00016    0.3700   -5794.5881  0.2915 
   00017    0.4228   -5943.3565  0.2946 
   00018    0.3864   -5914.0197  0.2825 
   00019    0.3944   -5856.7938  0.2779 
   00020    0.3940   -5874.4507  0.2875 
   00021    0.4096   -5908.0355  0.2876 
   00022    0.4020   -5935.9697  0.2827 
   00023    0.3764   -5971.4202  0.2825 
   00024    0.4092   -6114.6165  0.2858 
   00025    0.3656   -6113.9398  0.2835 
   00026    0.3816   -6162.6600  0.2901 
   00027    0.3648   -6209.5041  0.2905 
   00028    0.3804   -6197.7826  0.2881 
   00029    0.3736   -6166.4075  0.2945 
   00030    0.3668   -6164.1902  0.3002 
   00031    0.3552   -6150.0520  0.2956 
   00032    0.3996   -6174.2601  0.3046 
   00033    0.3820   -6262.6977  0.3072 
   00034    0.3768   -6269.7109  0.3068 
   00035    0.3908   -6282.3071  0.3044 
   00036    0.3584   -6253.7168  0.3054 
   00037    0.3600   -6262.2539  0.3059 
   00038    0.3816   -6275.1443  0.3080 
   00039    0.3908   -6296.8440  0.3057 
   00040    0.3548   -6286.8629  0.3112 
   00041    0.3940   -6233.8691  0.3057 
   00042    0.3804   -6218.5130  0.2969 
   00043    0.4100   -6247.7414  0.2970 
   00044    0.3692   -6185.9608  0.2962 
   00045    0.3704   -6264.1785  0.2980 
   00046    0.3848   -6283.3593  0.2992 
   00047    0.3936   -6321.2992  0.3062 
   00048    0.3656   -6324.9183  0.3091 
   00049    0.3584   -6368.9500  0.3059 
   00050    0.3628   -6389.9071  0.3103 
