LebwohlLasher_numba.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.395, Time: 2.870343 s
         2729708 function calls (2654565 primitive calls) in 5.485 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       95    0.005    0.000    0.015    0.000 __init__.py:313(namedtuple)
      232    0.005    0.000    0.019    0.000 numpy_support.py:357(ufunc_find_matching_loop)
      246    0.005    0.000    0.006    0.000 templates.py:1147(make_overload_attribute_template)
    17434    0.005    0.000    0.007    0.000 utils.py:506(sublist_iterator)
7240/3264    0.005    0.000    0.033    0.000 _utils.py:44(__str__)
     1207    0.005    0.000    0.010    0.000 functools.py:34(update_wrapper)
     2072    0.005    0.000    0.027    0.000 base.py:352(install_registry)
     5249    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
  726/103    0.005    0.000    1.658    0.016 <frozen importlib._bootstrap>:986(_find_and_load)
     5198    0.005    0.000    0.022    0.000 event.py:209(broadcast)
 1620/517    0.005    0.000    0.006    0.000 sre_parse.py:174(getwidth)
2534/2529    0.005    0.000    0.030    0.000 abstract.py:61(__call__)
       46    0.005    0.000    0.022    0.000 castgraph.py:92(propagate)
     1360    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
10946/10681    0.005    0.000    0.006    0.000 abstract.py:124(__eq__)
    26648    0.005    0.000    0.005    0.000 {method 'extend' of 'list' objects}
       51    0.005    0.000    0.009    0.000 linalg.py:1168(eig)
     5304    0.005    0.000    0.061    0.000 re.py:198(search)
      189    0.005    0.000    0.082    0.000 functions.py:281(get_call_type)
        5    0.004    0.001    0.005    0.001 {method 'readlines' of '_io._IOBase' objects}
29192/28043    0.004    0.000    0.005    0.000 {built-in method builtins.hash}
     9389    0.004    0.000    0.006    0.000 sre_parse.py:164(__getitem__)
    14443    0.004    0.000    0.020    0.000 abc.py:96(__instancecheck__)
       50    0.004    0.000    0.004    0.000 {method 'normal' of 'numpy.random.mtrand.RandomState' objects}
5404/5379    0.004    0.000    0.010    0.000 _utils.py:54(get_reference)
      259    0.004    0.000    0.196    0.001 cpu.py:60(load_additional_registries)
     2047    0.004    0.000    0.028    0.000 values.py:544(_to_string)
     2599    0.004    0.000    0.020    0.000 event.py:404(end_event)
     2534    0.004    0.000    0.012    0.000 abstract.py:49(_intern)
  631/630    0.004    0.000    0.227    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
8404/8248    0.004    0.000    0.007    0.000 {built-in method builtins.repr}
      100    0.004    0.000    0.006    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
   636/47    0.004    0.000    1.647    0.035 <frozen importlib._bootstrap>:650(_load_unlocked)
     2599    0.004    0.000    0.017    0.000 event.py:390(start_event)
     1071    0.004    0.000    0.075    0.000 extending.py:129(decorate)
     1160    0.004    0.000    0.014    0.000 ansitowin32.py:73(__init__)
     5198    0.004    0.000    0.007    0.000 event.py:100(__init__)
        1    0.004    0.004    0.007    0.007 _base.py:547(_AxesBase)
     2673    0.004    0.000    0.008    0.000 _utils.py:24(deduplicate)
     1165    0.004    0.000    0.013    0.000 context.py:542(_rate_arguments)
      100    0.004    0.000    0.013    0.000 artist.py:170(<listcomp>)
    33503    0.004    0.000    0.004    0.000 abstract.py:96(key)
       86    0.003    0.000    0.021    0.000 pprint.py:345(_format_dict_items)
     2180    0.003    0.000    0.019    0.000 ffi.py:70(__enter__)
     2715    0.003    0.000    0.018    0.000 values.py:537(__init__)
  2143/89    0.003    0.000    0.042    0.000 pprint.py:163(_format)
   665/46    0.003    0.000    1.655    0.036 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
     1151    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
     1360    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:103(release)
    16154    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
     1994    0.003    0.000    0.004    0.000 contextlib.py:82(__init__)
      140    0.003    0.000    0.017    0.000 context.py:592(resolve_overload)
     8223    0.003    0.000    0.009    0.000 sre_parse.py:254(get)
2176/2159    0.003    0.000    0.008    0.000 {built-in method builtins.any}
     4116    0.003    0.000    0.026    0.000 pprint.py:403(_repr)
    78/26    0.003    0.000    0.791    0.030 compiler_machinery.py:268(_runPass)
        9    0.003    0.000    0.012    0.001 postproc.py:179(_patch_var_dels)
     9123    0.003    0.000    0.009    0.000 {built-in method builtins.issubclass}
     9827    0.003    0.000    0.005    0.000 ir.py:1275(find_insts)
     3124    0.003    0.000    0.004    0.000 event.py:270(on_end)
      504    0.003    0.000    0.009    0.000 utils.py:350(order_by_target_specificity)
     5625    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
  397/241    0.003    0.000    0.320    0.001 lowering.py:457(lower_inst)
     3759    0.003    0.000    0.004    0.000 pprint.py:99(_safe_tuple)
     8340    0.003    0.000    0.005    0.000 {built-in method builtins.setattr}
      580    0.003    0.000    0.024    0.000 errors.py:301(_markup)
     4743    0.003    0.000    0.004    0.000 targetconfig.py:111(getter)
8474/4905    0.003    0.000    0.016    0.000 abc.py:100(__subclasscheck__)
     2532    0.003    0.000    0.007    0.000 numpy_support.py:339(ufunc_can_cast)
    15249    0.003    0.000    0.004    0.000 {method 'add' of 'set' objects}
     2110    0.003    0.000    0.045    0.000 abc.py:84(__new__)
     4116    0.003    0.000    0.023    0.000 pprint.py:412(format)
 1031/983    0.003    0.000    0.004    0.000 values.py:445(__init__)
     2781    0.003    0.000    0.014    0.000 values.py:557(_set_name)
     6248    0.003    0.000    0.003    0.000 event.py:138(is_start)
  635/634    0.003    0.000    0.065    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
       54    0.003    0.000    2.292    0.042 __init__.py:1(<module>)
     2654    0.003    0.000    0.004    0.000 __init__.py:421(_strip_comment)
     1071    0.003    0.000    0.003    0.000 extending.py:62(overload)
      611    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
     9070    0.003    0.000    0.003    0.000 {method 'match' of 're.Pattern' objects}
     5210    0.003    0.000    0.004    0.000 event.py:66(_guard_kind)
        3    0.002    0.001    0.002    0.001 {method 'close' of '_io.TextIOWrapper' objects}
      811    0.002    0.000    0.005    0.000 enum.py:75(__setitem__)
    18660    0.002    0.000    0.002    0.000 {built-in method builtins.iter}
    37/32    0.002    0.000    0.023    0.001 {built-in method _imp.exec_dynamic}
     7654    0.002    0.000    0.003    0.000 enum.py:631(__new__)
     2781    0.002    0.000    0.011    0.000 _utils.py:16(register)
     1845    0.002    0.000    0.006    0.000 typeconv.py:40(check_compatible)
       27    0.002    0.000    0.006    0.000 analysis.py:118(compute_dead_maps)
     1160    0.002    0.000    0.002    0.000 {method 'isatty' of '_io.TextIOWrapper' objects}
     4559    0.002    0.000    0.004    0.000 {built-in method builtins.max}
     4062    0.002    0.000    0.002    0.000 {built-in method _imp.acquire_lock}
     7841    0.002    0.000    0.002    0.000 {method 'isidentifier' of 'str' objects}
    11119    0.002    0.000    0.002    0.000 {method 'pop' of 'list' objects}
      574    0.002    0.000    0.136    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
3720/3554    0.002    0.000    0.003    0.000 {method 'update' of 'dict' objects}
     2180    0.002    0.000    0.021    0.000 ffi.py:76(__exit__)
      253    0.002    0.000    0.002    0.000 {method 'reduce' of 'numpy.ufunc' objects}
1994/1807    0.002    0.000    0.008    0.000 contextlib.py:117(__exit__)
     4090    0.002    0.000    0.003    0.000 inspect.py:2821(<genexpr>)
     22/8    0.002    0.000    0.324    0.040 lowering.py:275(lower_block)
  577/250    0.002    0.000    0.045    0.000 sre_parse.py:435(_parse_sub)
