#=====================================================
# File created:        Sat-09-Mar-2024-at-11-34-51AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.991333
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2527.0116  0.2649 
   00001    0.6852   -3701.2178  0.2634 
   00002    0.6172   -4471.2846  0.2653 
   00003    0.5976   -5066.5234  0.2780 
   00004    0.5680   -5482.3331  0.2723 
   00005    0.5388   -5820.0766  0.2632 
   00006    0.5076   -6152.9734  0.2639 
   00007    0.5080   -6401.4571  0.2640 
   00008    0.4892   -6565.7372  0.2608 
   00009    0.5052   -6697.7568  0.2703 
   00010    0.4808   -6852.5744  0.2796 
   00011    0.4776   -6959.1557  0.2892 
   00012    0.4688   -7033.4217  0.2889 
   00013    0.4752   -7162.6200  0.2931 
   00014    0.4636   -7231.0546  0.2957 
   00015    0.4548   -7314.9895  0.2957 
   00016    0.4608   -7382.3456  0.2931 
   00017    0.4484   -7425.4863  0.2894 
   00018    0.4652   -7473.3017  0.2898 
   00019    0.4372   -7491.2284  0.2831 
   00020    0.4680   -7585.6880  0.2857 
   00021    0.4500   -7620.1908  0.2811 
   00022    0.4472   -7632.0836  0.2816 
   00023    0.4448   -7665.9687  0.2830 
   00024    0.4444   -7770.3505  0.2843 
   00025    0.4432   -7769.6473  0.2859 
   00026    0.4360   -7799.1935  0.2776 
   00027    0.4368   -7798.4346  0.2771 
   00028    0.4368   -7805.2575  0.2697 
   00029    0.4404   -7814.6041  0.2700 
   00030    0.4396   -7811.7919  0.2697 
   00031    0.4444   -7863.7432  0.2600 
   00032    0.4296   -7885.5713  0.2566 
   00033    0.4316   -7837.8664  0.2645 
   00034    0.4332   -7863.0819  0.2654 
   00035    0.4340   -7865.1567  0.2699 
   00036    0.4156   -7902.9204  0.2670 
   00037    0.4368   -7940.5824  0.2700 
   00038    0.4336   -7960.6688  0.2771 
   00039    0.4044   -7988.1401  0.2784 
   00040    0.4200   -7998.7039  0.2827 
   00041    0.4316   -7968.4974  0.2793 
   00042    0.4452   -7993.2108  0.2802 
   00043    0.4376   -7954.6679  0.2810 
   00044    0.4264   -7945.0223  0.2934 
   00045    0.4236   -8024.0426  0.2913 
   00046    0.4344   -8003.5914  0.2876 
   00047    0.4356   -8020.0814  0.2850 
   00048    0.4248   -8031.4024  0.2845 
   00049    0.4452   -8037.3204  0.2796 
   00050    0.4272   -8035.9862  0.2778 
