         945693 function calls (931690 primitive calls) in 0.934 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      580    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
      318    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
     5467    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
       33    0.001    0.000    0.001    0.000 {built-in method io.open}
      614    0.001    0.000    0.002    0.000 _inspect.py:65(getargs)
     5104    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
     9152    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      188    0.001    0.000    0.001    0.000 colors.py:1101(<listcomp>)
      775    0.001    0.000    0.002    0.000 inspect.py:493(unwrap)
      206    0.001    0.000    0.049    0.000 sre_compile.py:759(compile)
  455/235    0.001    0.000    0.004    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   439/15    0.001    0.000    0.868    0.058 {built-in method builtins.__import__}
      290    0.001    0.000    0.054    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
      406    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
     1377    0.001    0.000    0.078    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
    290/4    0.001    0.000    0.929    0.232 <frozen importlib._bootstrap_external>:842(exec_module)
       52    0.001    0.000    0.001    0.000 core.py:894(__init__)
        1    0.001    0.001    0.001    0.001 {built-in method _posixsubprocess.fork_exec}
   470/57    0.001    0.000    0.799    0.014 <frozen importlib._bootstrap>:1017(_handle_fromlist)
      244    0.001    0.000    0.001    0.000 core.py:461(__init__)
     3288    0.001    0.000    0.001    0.000 inspect.py:2821(<genexpr>)
       36    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
      206    0.001    0.000    0.004    0.000 sre_compile.py:536(_compile_info)
     4531    0.001    0.000    0.001    0.000 artist.py:1567(<genexpr>)
      627    0.001    0.000    0.001    0.000 enum.py:417(__setattr__)
1608/1442    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
       18    0.001    0.000    0.001    0.000 arrayprint.py:1564(_guarded_repr_or_str)
      461    0.001    0.000    0.003    0.000 copy.py:66(copy)
     8567    0.001    0.000    0.001    0.000 inspect.py:2539(name)
      290    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:553(_classify_pyc)
      101    0.001    0.000    0.003    0.000 deprecation.py:128(deprecate)
      100    0.001    0.000    0.283    0.003 artist.py:159(_update_set_signature_and_docstring)
     1043    0.001    0.000    0.002    0.000 typing.py:762(__setattr__)
     2686    0.001    0.000    0.001    0.000 util.py:189(is_consecutive)
 3344/795    0.001    0.000    0.001    0.000 __init__.py:362(recursive_subclasses)
      314    0.001    0.000    0.008    0.000 overrides.py:170(decorator)
      338    0.001    0.000    0.065    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
       15    0.001    0.000    0.001    0.000 rcsetup.py:85(_listify_validator)
      132    0.001    0.000    0.030    0.000 _docstring.py:38(__call__)
      870    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
     6941    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
      969    0.001    0.000    0.015    0.000 __init__.py:699(__setitem__)
     2300    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
     2483    0.001    0.000    0.001    0.000 sre_parse.py:160(__len__)
      674    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1330(_path_importer_cache)
     2510    0.001    0.000    0.001    0.000 sre_parse.py:172(append)
        1    0.001    0.001    0.003    0.003 getlimits.py:158(_register_known_types)
       92    0.001    0.000    0.010    0.000 __init__.py:1372(_preprocess_data)
      284    0.001    0.000    0.005    0.000 overrides.py:88(verify_matching_signatures)
        1    0.001    0.001    0.001    0.001 helpers.py:647(<dictcomp>)
      213    0.001    0.000    0.072    0.000 artist.py:1426(__init__)
        2    0.001    0.000    0.001    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      206    0.001    0.000    0.030    0.000 sre_parse.py:937(parse)
     1544    0.001    0.000    0.001    0.000 sre_parse.py:286(tell)
   273/11    0.001    0.000    0.004    0.000 core.py:811(_parseNoCache)
      318    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1493(_get_spec)
      344    0.001    0.000    0.003    0.000 inspect.py:544(_finddoc)
      649    0.001    0.000    0.002    0.000 {built-in method builtins.max}
      110    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
      548    0.001    0.000    0.001    0.000 {built-in method numpy.array}
     5734    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      429    0.001    0.000    0.014    0.000 artist.py:1540(number_of_parameters)
     7007    0.001    0.000    0.001    0.000 inspect.py:2551(kind)
     5312    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
      100    0.001    0.000    0.007    0.000 deprecation.py:416(make_keyword_only)
      169    0.001    0.000    0.002    0.000 colors.py:307(_to_rgba_no_colorcycle)
       30    0.001    0.000    0.001    0.000 function_base.py:23(linspace)
      929    0.001    0.000    0.013    0.000 artist.py:1546(is_alias)
        6    0.001    0.000    0.002    0.000 getlimits.py:34(__init__)
     2242    0.001    0.000    0.001    0.000 sre_parse.py:249(match)
      262    0.001    0.000    0.001    0.000 typing.py:120(_type_check)
      206    0.001    0.000    0.001    0.000 enum.py:938(__and__)
      463    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
      719    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:389(parent)
      364    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
      461    0.001    0.000    0.002    0.000 copy.py:258(_reconstruct)
      318    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:484(_get_cached)
       30    0.001    0.000    0.001    0.000 enum.py:200(<setcomp>)
      142    0.001    0.000    0.003    0.000 typing.py:659(__init__)
      344    0.001    0.000    0.001    0.000 inspect.py:534(_findclass)
      252    0.001    0.000    0.001    0.000 sre_parse.py:355(_escape)
      390    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
      317    0.001    0.000    0.003    0.000 function_base.py:483(add_newdoc)
      112    0.001    0.000    0.222    0.002 artist.py:1841(kwdoc)
      363    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:147(__enter__)
     1789    0.001    0.000    0.001    0.000 inspect.py:158(isfunction)
      364    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
      710    0.001    0.000    0.029    0.000 inspect.py:3103(signature)
        1    0.001    0.001    0.001    0.001 artist.py:117(Artist)
      608    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:376(cached)
      397    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
      160    0.001    0.000    0.002    0.000 shape_base.py:612(column_stack)
    505/4    0.001    0.000    0.927    0.232 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     1025    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:867(__exit__)
      438    0.001    0.000    0.003    0.000 colors.py:265(to_rgba)
       84    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
     1324    0.001    0.000    0.002    0.000 re.py:188(match)
      290    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
        2    0.001    0.000    0.002    0.001 decoder.py:343(raw_decode)
     1094    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
     1160    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
        2    0.001    0.000    0.047    0.023 core.py:1(<module>)
       18    0.001    0.000    0.003    0.000 {built-in method builtins.eval}
     1815    0.001    0.000    0.001    0.000 {method 'setdefault' of 'dict' objects}
      461    0.001    0.000    0.004    0.000 core.py:522(copy)
        1    0.001    0.001    0.002    0.002 scimath.py:1(<module>)
      769    0.001    0.000    0.001    0.000 functools.py:64(wraps)
     1394    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
      314    0.000    0.000    0.000    0.000 overrides.py:128(array_function_dispatch)
      595    0.000    0.000    0.001    0.000 sre_compile.py:423(_simple)
      409    0.000    0.000    0.001    0.000 function_base.py:346(iterable)
      409    0.000    0.000    0.004    0.000 rcsetup.py:307(validate_color)
     2142    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     5108    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      334    0.000    0.000    0.107    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
     1226    0.000    0.000    0.003    0.000 {built-in method _abc._abc_instancecheck}
     2142    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      329    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      710    0.000    0.000    0.029    0.000 inspect.py:2851(from_callable)
      206    0.000    0.000    0.017    0.000 sre_compile.py:598(_code)
       99    0.000    0.000    0.279    0.003 artist.py:126(__init_subclass__)
     1043    0.000    0.000    0.001    0.000 typing.py:646(_is_dunder)
      290    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:586(_validate_timestamp_pyc)
     1025    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:863(__enter__)
      290    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:516(_check_name_wrapper)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
     2212    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {built-in method posix.read}
      850    0.000    0.000    0.002    0.000 colors.py:213(_is_nth_color)
      363    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:151(__exit__)
      274    0.000    0.000    0.001    0.000 results.py:148(__new__)
     1281    0.000    0.000    0.000    0.000 __init__.py:658(_set)
      290    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      106    0.000    0.000    0.001    0.000 font_manager.py:923(_json_decode)
      206    0.000    0.000    0.001    0.000 sre_parse.py:224(__init__)
      576    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
      357    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
   256/18    0.000    0.000    0.001    0.000 ast.py:373(generic_visit)
      830    0.000    0.000    0.001    0.000 inspect.py:513(_is_wrapper)
     1525    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      428    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
        1    0.000    0.000    0.001    0.001 markers.py:156(MarkerStyle)
       32    0.000    0.000    0.005    0.000 colors.py:1027(from_list)
     1089    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      838    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        1    0.000    0.000    0.020    0.020 numeric.py:1(<module>)
  214/199    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 _color_data.py:989(<dictcomp>)
        1    0.000    0.000    0.015    0.015 numerictypes.py:1(<module>)
      577    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
 1427/165    0.000    0.000    0.002    0.000 abc.py:100(__subclasscheck__)
       47    0.000    0.000    0.006    0.000 __init__.py:1328(_add_data_doc)
     2338    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.499    0.499 pyplot.py:4(<module>)
      290    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1075(path_stats)
       50    0.000    0.000    0.001    0.000 deprecation.py:457(<listcomp>)
      392    0.000    0.000    0.002    0.000 re.py:203(sub)
      314    0.000    0.000    0.000    0.000 {method 'replace' of 'code' objects}
       53    0.000    0.000    0.003    0.000 util.py:240(replaced_by_pep8)
      447    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
     1226    0.000    0.000    0.003    0.000 abc.py:96(__instancecheck__)
      127    0.000    0.000    0.000    0.000 posixpath.py:71(join)
      718    0.000    0.000    0.000    0.000 types.py:171(__get__)
       67    0.000    0.000    0.002    0.000 core.py:3909(__init__)
      168    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
  240/225    0.000    0.000    0.005    0.000 typing.py:255(inner)
      461    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
       63    0.000    0.000    0.001    0.000 inspect.py:3057(__str__)
      206    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      651    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
     1215    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       20    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
      213    0.000    0.000    0.001    0.000 sre_parse.py:84(opengroup)
       32    0.000    0.000    0.002    0.000 colors.py:399(to_rgba_array)
       18    0.000    0.000    0.007    0.000 rcsetup.py:721(validate_cycler)
      462    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
        1    0.000    0.000    0.000    0.000 zipfile.py:636(LZMADecompressor)
      275    0.000    0.000    0.001    0.000 inspect.py:2555(replace)
        2    0.000    0.000    0.001    0.000 unicode.py:63(<listcomp>)
        1    0.000    0.000    0.001    0.001 six.py:21(<module>)
      465    0.000    0.000    0.001    0.000 __init__.py:729(__getitem__)
      508    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
      148    0.000    0.000    0.000    0.000 typing.py:172(_collect_type_vars)
      778    0.000    0.000    0.000    0.000 __init__.py:678(_get)
  122/111    0.000    0.000    0.030    0.000 _docstring.py:79(__call__)
      352    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:175(_path_isabs)
      736    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.003    0.003 subprocess.py:1552(_execute_child)
      666    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       36    0.000    0.000    0.002    0.000 getlimits.py:111(_float_to_str)
        1    0.000    0.000    0.000    0.000 {function SeedSequence.generate_state at 0x7f32db129700}
  324/203    0.000    0.000    0.000    0.000 typing.py:720(__hash__)
       22    0.000    0.000    0.001    0.000 core.py:4037(_generateDefaultName)
       34    0.000    0.000    0.001    0.000 <frozen zipimport>:63(__init__)
       66    0.000    0.000    0.001    0.000 core.py:4486(__init__)
        1    0.000    0.000    0.027    0.027 Image.py:27(<module>)
        1    0.000    0.000    0.001    0.001 subprocess.py:1101(_close_pipe_fds)
      142    0.000    0.000    0.000    0.000 sre_parse.py:861(_parse_flags)
     22/3    0.000    0.000    0.001    0.000 core.py:3944(streamline)
      117    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
        1    0.000    0.000    0.000    0.000 _cm_listed.py:1(<module>)
       60    0.000    0.000    0.002    0.000 __init__.py:817(_open_file_or_url)
        7    0.000    0.000    0.003    0.000 core.py:2768(__init__)
      871    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       44    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
      538    0.000    0.000    0.000    0.000 rcsetup.py:180(validator)
      412    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
       12    0.000    0.000    0.001    0.000 __init__.py:232(define_aliases)
       34    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1459(__init__)
       86    0.000    0.000    0.001    0.000 core.py:3717(__init__)
      412    0.000    0.000    0.004    0.000 colors.py:218(is_color_like)
        2    0.000    0.000    0.018    0.009 core.py:235(read_style_directory)
      618    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
      564    0.000    0.000    0.000    0.000 inspect.py:72(isclass)
      363    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      568    0.000    0.000    0.000    0.000 <string>:1(__new__)
      317    0.000    0.000    0.001    0.000 function_base.py:469(_add_docstring)
      243    0.000    0.000    0.000    0.000 inspect.py:2573(__str__)
     78/4    0.000    0.000    0.002    0.000 core.py:962(_parseCache)
      103    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      997    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.015    0.015 core.py:5(<module>)
       34    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1549(_fill_cache)
      317    0.000    0.000    0.000    0.000 function_base.py:451(_needs_add_docstring)
       46    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
        1    0.000    0.000    0.000    0.000 __init__.py:335(_sanity_check)
      290    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1004(__init__)
   133/64    0.000    0.000    0.003    0.000 core.py:3843(copy)
        2    0.000    0.000    0.001    0.000 unicode.py:55(_chars_for_ranges)
       12    0.000    0.000    0.001    0.000 _docstring.py:57(<listcomp>)
       44    0.000    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
      173    0.000    0.000    0.002    0.000 inspect.py:2865(replace)
      461    0.000    0.000    0.001    0.000 copyreg.py:90(__newobj__)
      572    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      334    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
        1    0.000    0.000    0.017    0.017 _axes.py:46(Axes)
    56/41    0.000    0.000    0.002    0.000 typing.py:347(__getitem__)
      206    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
      206    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      354    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:725(find_spec)
      604    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
       66    0.000    0.000    0.001    0.000 inspect.py:1812(_signature_bound_method)
        1    0.000    0.000    0.001    0.001 ExifTags.py:295(<dictcomp>)
        2    0.000    0.000    0.000    0.000 {built-in method posix.mkdir}
      126    0.000    0.000    0.000    0.000 colors.py:958(__init__)
      184    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
      783    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
      229    0.000    0.000    0.001    0.000 {built-in method builtins.any}
       23    0.000    0.000    0.001    0.000 overrides.py:221(decorator)
      775    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
        1    0.000    0.000    0.011    0.011 _methods.py:1(<module>)
    63/11    0.000    0.000    0.004    0.000 core.py:3994(parseImpl)
        1    0.000    0.000    0.009    0.009 font_manager.py:1(<module>)
      213    0.000    0.000    0.002    0.000 sre_parse.py:96(closegroup)
  644/394    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        2    0.000    0.000    0.001    0.001 function_base.py:1(<module>)
