#=====================================================
# File created:        Tue-12-Mar-2024-at-07-16-12PM
# Size of lattice:     150x150
# Number of MC steps:  50
# Reduced temperature: 1.000
# Run time (s):        27.770866
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -22365.8977  0.2550 
   00001    0.7007  -33957.0899  0.2535 
   00002    0.6250  -39407.1202  0.2521 
   00003    0.5895  -42545.5119  0.2545 
   00004    0.5681  -44877.7138  0.2517 
   00005    0.5553  -46304.8906  0.2521 
   00006    0.5444  -47233.6041  0.2548 
   00007    0.5334  -48103.9792  0.2574 
   00008    0.5214  -49132.9704  0.2635 
   00009    0.5202  -49872.8580  0.2614 
   00010    0.5185  -50419.3684  0.2635 
   00011    0.5129  -50851.2909  0.2609 
   00012    0.5063  -50971.3212  0.2634 
   00013    0.5045  -51067.6720  0.2632 
   00014    0.5114  -51267.1196  0.2611 
   00015    0.5039  -51585.2805  0.2583 
   00016    0.5000  -51831.8726  0.2618 
   00017    0.5060  -51817.3240  0.2635 
   00018    0.5074  -52266.0811  0.2648 
   00019    0.5005  -52448.1902  0.2621 
   00020    0.4941  -52345.8420  0.2611 
   00021    0.4943  -52584.2960  0.2621 
   00022    0.4992  -52520.9215  0.2635 
   00023    0.5004  -52213.4268  0.2647 
   00024    0.4998  -52539.4304  0.2654 
   00025    0.4949  -52610.4375  0.2641 
   00026    0.4964  -52762.7300  0.2685 
   00027    0.5002  -52618.4821  0.2703 
   00028    0.4923  -52647.4256  0.2663 
   00029    0.4973  -52578.1942  0.2637 
   00030    0.4983  -52656.4613  0.2644 
   00031    0.4909  -52432.4975  0.2659 
   00032    0.4959  -52366.8277  0.2670 
   00033    0.4966  -52493.7423  0.2661 
   00034    0.4940  -52544.6413  0.2665 
   00035    0.4956  -52576.3062  0.2667 
   00036    0.4955  -52855.4294  0.2649 
   00037    0.4954  -53044.9028  0.2656 
   00038    0.4935  -52791.0575  0.2674 
   00039    0.4980  -52785.5364  0.2672 
   00040    0.5005  -52395.8503  0.2728 
   00041    0.4972  -52594.6337  0.2725 
   00042    0.4971  -52708.1599  0.2717 
   00043    0.4953  -52811.1670  0.2693 
   00044    0.4950  -52623.1072  0.2651 
   00045    0.4963  -52725.5825  0.2685 
   00046    0.4970  -52646.3139  0.2701 
   00047    0.4992  -52635.9464  0.2705 
   00048    0.4960  -52832.7979  0.2685 
   00049    0.4937  -53002.4312  0.2664 
   00050    0.4961  -53005.8961  0.2655 
