#=====================================================
# File created:        Sat-09-Mar-2024-at-11-34-20AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        3.016706
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2413.9738  0.2579 
   00001    0.6744   -3686.6113  0.2659 
   00002    0.6292   -4515.5939  0.2755 
   00003    0.5744   -5072.6383  0.2723 
   00004    0.5784   -5601.6123  0.2776 
   00005    0.5304   -5897.9058  0.2744 
   00006    0.5184   -6198.0147  0.2762 
   00007    0.4956   -6383.1477  0.2777 
   00008    0.4948   -6570.9842  0.2725 
   00009    0.4864   -6754.2322  0.2672 
   00010    0.4896   -6919.4906  0.2769 
   00011    0.4888   -7047.2358  0.2827 
   00012    0.4676   -7144.7228  0.2760 
   00013    0.4728   -7252.5039  0.2816 
   00014    0.4656   -7308.0632  0.2822 
   00015    0.4668   -7392.0344  0.2786 
   00016    0.4564   -7487.9774  0.2848 
   00017    0.4680   -7563.1495  0.2864 
   00018    0.4436   -7601.2364  0.2844 
   00019    0.4548   -7627.3354  0.2876 
   00020    0.4440   -7688.8455  0.2889 
   00021    0.4332   -7661.6646  0.2940 
   00022    0.4516   -7728.6104  0.2967 
   00023    0.4236   -7708.8635  0.2960 
   00024    0.4408   -7734.6478  0.2982 
   00025    0.4380   -7755.6069  0.3042 
   00026    0.4396   -7804.6665  0.3073 
   00027    0.4408   -7834.6698  0.3118 
   00028    0.4492   -7862.2168  0.3189 
   00029    0.4300   -7860.5417  0.3235 
   00030    0.4324   -7872.3444  0.3224 
   00031    0.4524   -7869.1539  0.3218 
   00032    0.4444   -7904.1309  0.3157 
   00033    0.4348   -7940.0644  0.3211 
   00034    0.4568   -7924.3058  0.3222 
   00035    0.4268   -7939.3667  0.3241 
   00036    0.4272   -8004.2099  0.3197 
   00037    0.4272   -7983.2298  0.3130 
   00038    0.4316   -7992.9865  0.3170 
   00039    0.4000   -8035.2795  0.3179 
   00040    0.4228   -7997.2497  0.3186 
   00041    0.4092   -7994.9781  0.3250 
   00042    0.4108   -8049.8464  0.3241 
   00043    0.4204   -8030.7487  0.3263 
   00044    0.4324   -8017.2912  0.3235 
   00045    0.4260   -8062.2986  0.3241 
   00046    0.4312   -8053.5136  0.3279 
   00047    0.4196   -8025.3623  0.3269 
   00048    0.4248   -8058.7757  0.3324 
   00049    0.4492   -8077.3547  0.3369 
   00050    0.4152   -8077.6396  0.3412 
