LebwohlLasher.py: Size: 150, Steps: 150, T*: 0.500: Order: 0.325, Time: 91.171391 s
         15096756 function calls (15072859 primitive calls) in 98.508 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  783/714    0.004    0.000    0.024    0.000 inspect.py:2218(_signature_from_callable)
     6807    0.004    0.000    0.004    0.000 {method 'expandtabs' of 'str' objects}
    37884    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
    45097    0.004    0.000    0.004    0.000 path.py:256(should_simplify)
     3910    0.004    0.000    0.004    0.000 {built-in method __new__ of type object at 0x902780}
       52    0.004    0.000    0.004    0.000 {built-in method io.open}
     1252    0.004    0.000    0.004    0.000 {method 'copy' of 'numpy.ndarray' objects}
       30    0.003    0.000    0.024    0.001 __init__.py:835(_rc_params_in_file)
       38    0.003    0.000    0.003    0.000 {built-in method posix.listdir}
     3847    0.003    0.000    0.004    0.000 __init__.py:101(check_in_list)
     1477    0.003    0.000    0.003    0.000 {built-in method numpy.array}
      322    0.003    0.000    0.078    0.000 <frozen importlib._bootstrap_external>:914(get_code)
      814    0.003    0.000    0.005    0.000 functools.py:34(update_wrapper)
      566    0.003    0.000    0.006    0.000 __init__.py:1736(normalize_kwargs)
       51    0.003    0.000    0.012    0.000 __init__.py:1547(_substitute)
      314    0.003    0.000    0.013    0.000 overrides.py:170(decorator)
     6377    0.003    0.000    0.003    0.000 {method 'format' of 'str' objects}
     1528    0.003    0.000    0.004    0.000 __init__.py:2004(_setattr_cm)
      126    0.003    0.000    0.029    0.000 lines.py:274(__init__)
        2    0.003    0.001    6.285    3.142 LebwohlLasher.py:47(plotdat)
      398    0.003    0.000    0.084    0.000 <frozen importlib._bootstrap>:890(_find_spec)
      859    0.003    0.000    0.009    0.000 fromnumeric.py:69(_wrapreduction)
     3586    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
      644    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
      589    0.003    0.000    0.003    0.000 transforms.py:194(set_children)
     5304    0.003    0.000    0.041    0.000 re.py:198(search)
      740    0.003    0.000    0.004    0.000 font_manager.py:633(__hash__)
      322    0.003    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1034(get_data)
   360/90    0.003    0.000    0.021    0.000 copy.py:226(_deepcopy_dict)
     3586    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
     7467    0.003    0.000    0.004    0.000 sre_parse.py:164(__getitem__)
 1287/423    0.002    0.000    0.003    0.000 sre_parse.py:174(getwidth)
        2    0.002    0.001    0.002    0.001 function_base.py:1602(angle)
     4292    0.002    0.000    0.002    0.000 {built-in method builtins.sorted}
   408/14    0.002    0.000    0.705    0.050 <frozen importlib._bootstrap>:986(_find_and_load)
     1344    0.002    0.000    0.003    0.000 transforms.py:1772(__init__)
     5988    0.002    0.000    0.002    0.000 sre_parse.py:233(__next)
  378/377    0.002    0.000    0.078    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
    30958    0.002    0.000    0.002    0.000 {built-in method builtins.callable}
     7952    0.002    0.000    0.002    0.000 enum.py:631(__new__)
       40    0.002    0.000    0.005    0.000 __init__.py:313(namedtuple)
      100    0.002    0.000    0.007    0.000 artist.py:170(<listcomp>)
      601    0.002    0.000    0.005    0.000 transforms.py:1889(__init__)
      172    0.002    0.000    0.003    0.000 sre_compile.py:276(_optimize_charset)
 1721/368    0.002    0.000    0.002    0.000 {built-in method _abc._abc_subclasscheck}
      152    0.002    0.000    0.002    0.000 twodim_base.py:162(eye)
      566    0.002    0.000    0.002    0.000 __init__.py:1775(<dictcomp>)
