#=====================================================
# File created:        Tue-12-Mar-2024-at-10-28-02AM
# Size of lattice:     50x50
# Number of MC steps:  100
# Reduced temperature: 1.000
# Run time (s):        6.344181
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2445.6321  0.2653 
   00001    0.7008   -3736.6864  0.2634 
   00002    0.6252   -4410.0222  0.2572 
   00003    0.5840   -4678.1471  0.2620 
   00004    0.5676   -4948.6875  0.2690 
   00005    0.5752   -5129.1746  0.2792 
   00006    0.5576   -5382.7840  0.2762 
   00007    0.5336   -5461.1074  0.2813 
   00008    0.5276   -5489.1181  0.2823 
   00009    0.5136   -5589.2952  0.2728 
   00010    0.4936   -5764.7335  0.2830 
   00011    0.4876   -5710.5488  0.2751 
   00012    0.4964   -5758.1537  0.2828 
   00013    0.5092   -5739.5911  0.2834 
   00014    0.5040   -5673.1434  0.2865 
   00015    0.5048   -5694.9262  0.2838 
   00016    0.5012   -5695.3457  0.2712 
   00017    0.4960   -5747.8924  0.2677 
   00018    0.5148   -5689.3012  0.2714 
   00019    0.5084   -5685.7337  0.2697 
   00020    0.5084   -5685.6628  0.2827 
   00021    0.5040   -5752.7205  0.2691 
   00022    0.5000   -5778.6545  0.2832 
   00023    0.4888   -5946.8947  0.2737 
   00024    0.4760   -5845.7101  0.2691 
   00025    0.4976   -5922.4105  0.2591 
   00026    0.4984   -5874.3990  0.2549 
   00027    0.4980   -5987.9201  0.2628 
   00028    0.4944   -5982.5659  0.2613 
   00029    0.4768   -6079.7313  0.2558 
   00030    0.5008   -6080.2889  0.2547 
   00031    0.4928   -5995.0198  0.2567 
   00032    0.4880   -5952.6416  0.2572 
   00033    0.4816   -5973.7114  0.2624 
   00034    0.4956   -5923.3918  0.2736 
   00035    0.4872   -6034.9129  0.2764 
   00036    0.4732   -5997.1805  0.2796 
   00037    0.4868   -5924.1017  0.2905 
   00038    0.4844   -5907.8843  0.2891 
   00039    0.4772   -5809.2568  0.2908 
   00040    0.4780   -5887.0794  0.2967 
   00041    0.4732   -5883.1468  0.2951 
   00042    0.4824   -5919.4974  0.2956 
   00043    0.4816   -5895.7664  0.2896 
   00044    0.4980   -5924.0667  0.2872 
   00045    0.4860   -5966.4000  0.2936 
   00046    0.4740   -5946.5906  0.3120 
   00047    0.4760   -5931.5794  0.2992 
   00048    0.5004   -6006.8371  0.3081 
   00049    0.4836   -6092.8799  0.3045 
   00050    0.4812   -6077.9004  0.3049 
   00051    0.4736   -6046.4013  0.2954 
   00052    0.4868   -6014.5150  0.3035 
   00053    0.4752   -6004.1966  0.3038 
   00054    0.4716   -5968.0345  0.2973 
   00055    0.4868   -5918.8723  0.3055 
   00056    0.5040   -5931.4513  0.3138 
   00057    0.4848   -5977.3627  0.3150 
   00058    0.4788   -5920.7811  0.3152 
   00059    0.4872   -5974.3435  0.3174 
   00060    0.4976   -5992.5558  0.3127 
   00061    0.4864   -6059.2319  0.3107 
   00062    0.4860   -5985.8154  0.3159 
   00063    0.4888   -6084.6100  0.3139 
   00064    0.4800   -6067.4929  0.3215 
   00065    0.4800   -6028.1508  0.3257 
   00066    0.5124   -6069.7623  0.3238 
   00067    0.4880   -6089.1144  0.3248 
   00068    0.4864   -5929.1862  0.3334 
   00069    0.4964   -5989.4886  0.3382 
   00070    0.4860   -5885.4154  0.3463 
   00071    0.4860   -5847.7605  0.3357 
   00072    0.5024   -5934.2703  0.3270 
   00073    0.4892   -5837.1166  0.3250 
   00074    0.4992   -5979.2129  0.3244 
   00075    0.4912   -5875.8641  0.3132 
   00076    0.4908   -5949.2499  0.3228 
   00077    0.4744   -5988.4413  0.3325 
   00078    0.4796   -5951.8268  0.3362 
   00079    0.4772   -5914.7213  0.3375 
   00080    0.4920   -5954.0898  0.3311 
   00081    0.5068   -5893.7154  0.3227 
   00082    0.4808   -6007.7844  0.3203 
   00083    0.4664   -5946.4537  0.3252 
   00084    0.4704   -6002.9757  0.3351 
   00085    0.4744   -6101.3357  0.3319 
   00086    0.4920   -6037.9400  0.3355 
   00087    0.4904   -6077.6437  0.3311 
   00088    0.4868   -6005.4618  0.3239 
   00089    0.4996   -5941.8907  0.3389 
   00090    0.5040   -5913.9686  0.3358 
   00091    0.4812   -5878.5268  0.3221 
   00092    0.5040   -5806.8114  0.3272 
   00093    0.4836   -5824.7573  0.3308 
   00094    0.5000   -5736.3063  0.3213 
   00095    0.4956   -5796.8021  0.3125 
   00096    0.5224   -5786.5817  0.3080 
   00097    0.5108   -5764.6771  0.2980 
   00098    0.4744   -5789.5332  0.3145 
   00099    0.5228   -5751.8694  0.3079 
   00100    0.4940   -5938.7324  0.3030 
