#=====================================================
# File created:        Tue-12-Mar-2024-at-04-05-37PM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 1.000
# Run time (s):        1.973467
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -9965.5740  0.2567 
   00001    0.7018  -15118.5633  0.2607 
   00002    0.6372  -17660.8246  0.2636 
   00003    0.5878  -19291.4108  0.2538 
   00004    0.5652  -20237.8279  0.2524 
   00005    0.5426  -20735.5699  0.2506 
   00006    0.5425  -21022.3807  0.2535 
   00007    0.5417  -21452.1541  0.2593 
   00008    0.5403  -21591.5747  0.2592 
   00009    0.5237  -21930.8827  0.2563 
   00010    0.5255  -22146.8415  0.2585 
   00011    0.5249  -22436.1291  0.2523 
   00012    0.5058  -22634.7571  0.2542 
   00013    0.5117  -22795.5352  0.2536 
   00014    0.5084  -22906.4887  0.2542 
   00015    0.5039  -23182.5997  0.2563 
   00016    0.4963  -23373.5946  0.2622 
   00017    0.4991  -23455.5550  0.2645 
   00018    0.4947  -23517.4583  0.2677 
   00019    0.4908  -23560.0151  0.2691 
   00020    0.4926  -23427.1945  0.2749 
   00021    0.5014  -23368.8031  0.2723 
   00022    0.4987  -23319.1125  0.2739 
   00023    0.4890  -23452.4602  0.2795 
   00024    0.5042  -23567.5703  0.2844 
   00025    0.4939  -23544.9853  0.2773 
   00026    0.4957  -23543.1556  0.2784 
   00027    0.4910  -23447.8789  0.2817 
   00028    0.5063  -23351.7749  0.2831 
   00029    0.4986  -23439.8995  0.2836 
   00030    0.4893  -23513.5190  0.2815 
   00031    0.4873  -23392.9026  0.2851 
   00032    0.4963  -23490.3594  0.2801 
   00033    0.4969  -23671.9072  0.2871 
   00034    0.4847  -23630.9821  0.2862 
   00035    0.4981  -23626.3128  0.2898 
   00036    0.4965  -23614.2173  0.2843 
   00037    0.5005  -23553.7076  0.2871 
   00038    0.4993  -23595.9736  0.2826 
   00039    0.4922  -23689.2989  0.2804 
   00040    0.4916  -23729.6624  0.2796 
   00041    0.4862  -23505.3841  0.2825 
   00042    0.4857  -23427.2348  0.2835 
   00043    0.4900  -23419.8997  0.2828 
   00044    0.4954  -23108.9812  0.2835 
   00045    0.5090  -23132.3357  0.2784 
   00046    0.4975  -23372.5058  0.2668 
   00047    0.4991  -23428.0473  0.2712 
   00048    0.5019  -23676.4208  0.2767 
   00049    0.4942  -23562.7280  0.2751 
   00050    0.4942  -23677.0853  0.2775 
