#=====================================================
# File created:        Tue-12-Mar-2024-at-01-54-15PM
# Size of lattice:     50x50
# Number of MC steps:  700
# Reduced temperature: 1.000
# Run time (s):        25.978681
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2643.6660  0.7738 
   00001    0.6884   -3782.2384  0.7725 
   00002    0.6340   -4417.1534  0.7752 
   00003    0.5868   -4789.0943  0.7672 
   00004    0.5480   -5062.9433  0.7626 
   00005    0.5560   -5145.8381  0.7738 
   00006    0.5452   -5364.3924  0.7780 
   00007    0.5332   -5452.4215  0.7822 
   00008    0.5496   -5570.6425  0.7897 
   00009    0.5168   -5546.0940  0.7817 
   00010    0.5040   -5700.5139  0.7853 
   00011    0.5024   -5729.0723  0.7890 
   00012    0.5052   -5816.8666  0.8033 
   00013    0.4992   -5814.4985  0.8050 
   00014    0.5052   -5708.8338  0.7949 
   00015    0.5204   -5671.9057  0.7926 
   00016    0.5180   -5817.7159  0.7803 
   00017    0.5120   -5810.9843  0.7857 
   00018    0.4940   -5872.0223  0.7900 
   00019    0.4992   -5825.2031  0.7942 
   00020    0.4780   -5885.8556  0.8044 
   00021    0.4772   -5908.7799  0.8072 
   00022    0.4852   -5912.4355  0.8111 
   00023    0.4952   -5891.9204  0.8197 
   00024    0.4760   -5913.4562  0.8174 
   00025    0.4860   -5886.7701  0.8197 
   00026    0.5004   -5789.6666  0.8197 
   00027    0.5268   -5904.9186  0.8304 
   00028    0.4884   -5891.4433  0.8519 
   00029    0.4916   -5806.4930  0.8491 
   00030    0.5036   -5949.3779  0.8581 
   00031    0.4900   -5837.8143  0.8554 
   00032    0.5004   -5795.0071  0.8570 
   00033    0.4972   -5810.0190  0.8626 
   00034    0.4832   -5878.1943  0.8549 
   00035    0.4888   -5905.1000  0.8570 
   00036    0.5096   -5819.5686  0.8517 
   00037    0.4776   -5943.5787  0.8537 
   00038    0.4832   -6051.3398  0.8450 
   00039    0.5020   -6003.3403  0.8438 
   00040    0.4856   -5952.0422  0.8379 
   00041    0.4908   -5913.3866  0.8377 
   00042    0.4828   -5908.7117  0.8379 
   00043    0.4892   -5872.0535  0.8339 
   00044    0.4856   -5939.6931  0.8229 
   00045    0.4992   -5934.1541  0.8164 
   00046    0.4748   -5979.4460  0.8244 
   00047    0.4824   -5900.9572  0.8047 
   00048    0.5120   -5837.0798  0.8087 
   00049    0.5068   -5895.0728  0.8043 
   00050    0.4880   -5886.3741  0.8015 
   00051    0.4936   -5899.3290  0.7912 
   00052    0.5064   -5926.9454  0.7936 
   00053    0.5084   -5824.5694  0.8009 
   00054    0.4832   -5861.8617  0.8211 
   00055    0.5076   -5944.5849  0.8011 
   00056    0.4852   -5838.6989  0.8047 
   00057    0.4916   -5905.7425  0.8089 
   00058    0.4704   -5871.2168  0.8032 
   00059    0.5088   -5880.6403  0.7896 
   00060    0.4872   -5802.6116  0.7843 
   00061    0.4928   -5938.6240  0.7943 
   00062    0.4808   -5990.1635  0.8118 
   00063    0.4812   -5980.2538  0.8170 
   00064    0.4952   -6006.0376  0.8298 
   00065    0.4752   -6061.6970  0.8420 
   00066    0.4820   -5985.3570  0.8492 
   00067    0.4796   -6126.2698  0.8455 
   00068    0.4608   -6090.2050  0.8543 
   00069    0.4708   -6039.9466  0.8493 
   00070    0.4844   -6051.7967  0.8533 
   00071    0.4868   -6100.3658  0.8463 
   00072    0.4648   -6115.7540  0.8378 
   00073    0.4740   -6198.2455  0.8380 
   00074    0.4808   -6097.7382  0.8436 
   00075    0.4716   -6076.4278  0.8602 
   00076    0.4868   -6026.4189  0.8593 
   00077    0.4752   -6095.6933  0.8670 
   00078    0.4800   -6114.2577  0.8571 
   00079    0.4692   -5931.2257  0.8482 
   00080    0.4836   -5941.0164  0.8588 
   00081    0.4888   -6000.2582  0.8618 
   00082    0.4680   -5913.5705  0.8512 
   00083    0.4820   -5814.5955  0.8498 
   00084    0.4924   -5895.3249  0.8582 
   00085    0.4944   -5842.2609  0.8505 
   00086    0.5144   -5828.6706  0.8593 
   00087    0.4868   -5831.6172  0.8622 
   00088    0.4808   -5858.2156  0.8478 
   00089    0.4888   -5982.3119  0.8412 
   00090    0.4920   -5985.3733  0.8482 
   00091    0.4836   -5916.3469  0.8469 
   00092    0.4984   -5908.3263  0.8496 
   00093    0.4976   -5906.3760  0.8468 
   00094    0.4884   -5876.0180  0.8495 
