#=====================================================
# File created:        Sat-09-Mar-2024-at-11-29-48AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        3.043430
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2515.3791  0.2586 
   00001    0.6936   -3677.2612  0.2608 
   00002    0.6304   -4554.1407  0.2655 
   00003    0.5888   -5074.3578  0.2649 
   00004    0.5500   -5570.1780  0.2712 
   00005    0.5072   -5895.4200  0.2789 
   00006    0.5152   -6170.8161  0.2774 
   00007    0.4932   -6401.5542  0.2812 
   00008    0.4928   -6633.9654  0.2825 
   00009    0.4796   -6826.7658  0.2895 
   00010    0.4692   -6962.0792  0.2952 
   00011    0.4744   -7089.4971  0.2873 
   00012    0.4852   -7145.6292  0.2910 
   00013    0.4568   -7199.8162  0.2920 
   00014    0.4696   -7326.6778  0.2896 
   00015    0.4540   -7379.5557  0.2979 
   00016    0.4584   -7420.1177  0.2963 
   00017    0.4360   -7489.8349  0.3059 
   00018    0.4492   -7585.0089  0.3122 
   00019    0.4208   -7628.6034  0.3030 
   00020    0.4524   -7640.8801  0.3042 
   00021    0.4320   -7652.3645  0.3113 
   00022    0.4324   -7668.3259  0.3089 
   00023    0.4392   -7744.4438  0.3094 
   00024    0.4500   -7762.5386  0.3040 
   00025    0.4324   -7740.4403  0.3045 
   00026    0.4364   -7806.1682  0.2948 
   00027    0.4324   -7815.1003  0.2894 
   00028    0.4544   -7842.2484  0.2890 
   00029    0.4356   -7877.4204  0.2906 
   00030    0.4324   -7906.5039  0.2908 
   00031    0.4620   -7875.1729  0.2952 
   00032    0.4288   -7893.5386  0.3000 
   00033    0.4380   -7895.2104  0.3022 
   00034    0.4456   -7877.1025  0.3057 
   00035    0.4276   -7870.2656  0.3115 
   00036    0.4380   -7865.5057  0.3168 
   00037    0.4364   -7916.8364  0.3142 
   00038    0.4312   -7910.4018  0.3171 
   00039    0.4324   -7961.5418  0.3224 
   00040    0.4292   -7984.5156  0.3247 
   00041    0.4516   -8017.7247  0.3304 
   00042    0.4176   -8022.6637  0.3334 
   00043    0.4300   -8019.9851  0.3331 
   00044    0.4468   -7974.2623  0.3292 
   00045    0.4516   -7986.4704  0.3328 
   00046    0.4236   -7981.0199  0.3303 
   00047    0.4216   -7988.8281  0.3364 
   00048    0.4160   -8020.8327  0.3368 
   00049    0.4248   -8029.0551  0.3416 
   00050    0.4344   -8016.1754  0.3429 
