LebwohlLasher: Size: 150, Steps: 150, T*: 0.500: Order: 0.281, Time: 80.334899 s
         2326740 function calls (2302657 primitive calls) in 107.440 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      322    0.003    0.000    0.076    0.000 <frozen importlib._bootstrap_external>:914(get_code)
     3587    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
      399    0.003    0.000    0.092    0.000 <frozen importlib._bootstrap>:890(_find_spec)
      869    0.003    0.000    0.009    0.000 fromnumeric.py:69(_wrapreduction)
      566    0.003    0.000    0.005    0.000 __init__.py:1736(normalize_kwargs)
     1513    0.003    0.000    0.003    0.000 {built-in method numpy.array}
  783/714    0.003    0.000    0.021    0.000 inspect.py:2218(_signature_from_callable)
      785    0.003    0.000    0.003    0.000 {method 'getint' of '_tkinter.tkapp' objects}
     3587    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
     3855    0.003    0.000    0.003    0.000 __init__.py:101(check_in_list)
      126    0.003    0.000    0.025    0.000 lines.py:274(__init__)
      357    0.003    0.000    0.005    0.000 transforms.py:754(__init__)
     6249    0.003    0.000    0.003    0.000 {method 'format' of 'str' objects}
      644    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
     5304    0.003    0.000    0.039    0.000 re.py:198(search)
        4    0.003    0.001    0.003    0.001 {method 'repeat' of 'numpy.ndarray' objects}
      322    0.003    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1034(get_data)
      288    0.003    0.000    0.004    0.000 artist.py:180(__init__)
       59    0.002    0.000    0.008    0.000 __init__.py:1547(_substitute)
      802    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     7467    0.002    0.000    0.003    0.000 sre_parse.py:164(__getitem__)
 1287/423    0.002    0.000    0.003    0.000 sre_parse.py:174(getwidth)
   409/12    0.002    0.000    0.717    0.060 <frozen importlib._bootstrap>:986(_find_and_load)
   360/90    0.002    0.000    0.020    0.000 copy.py:226(_deepcopy_dict)
      740    0.002    0.000    0.003    0.000 font_manager.py:633(__hash__)
      284    0.002    0.000    0.007    0.000 overrides.py:88(verify_matching_signatures)
     4292    0.002    0.000    0.002    0.000 {built-in method builtins.sorted}
    30958    0.002    0.000    0.002    0.000 {built-in method builtins.callable}
  379/378    0.002    0.000    0.085    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
     5988    0.002    0.000    0.002    0.000 sre_parse.py:233(__next)
       40    0.002    0.000    0.006    0.000 __init__.py:313(namedtuple)
      322    0.002    0.000    0.052    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
     1514    0.002    0.000    0.003    0.000 transforms.py:1772(__init__)
      747    0.002    0.000    0.005    0.000 transforms.py:1889(__init__)
   379/12    0.002    0.000    0.715    0.060 <frozen importlib._bootstrap>:650(_load_unlocked)
       28    0.002    0.000    0.011    0.000 ticker.py:624(format_data_short)
      172    0.002    0.000    0.003    0.000 sre_compile.py:276(_optimize_charset)
      614    0.002    0.000    0.002    0.000 _inspect.py:65(getargs)
     7960    0.002    0.000    0.002    0.000 enum.py:631(__new__)
      378    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
      100    0.002    0.000    0.018    0.000 artist.py:170(<listcomp>)
      802    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
     6513    0.002    0.000    0.003    0.000 {built-in method builtins.setattr}
     2363    0.002    0.000    0.002    0.000 transforms.py:110(__init__)
    11014    0.002    0.000    0.002    0.000 {built-in method builtins.id}
      802    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
   406/12    0.002    0.000    0.717    0.060 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
       12    0.002    0.000    0.114    0.009 axis.py:1269(_update_ticks)
 1721/368    0.002    0.000    0.002    0.000 {built-in method _abc._abc_subclasscheck}
       42    0.002    0.000    0.054    0.001 axis.py:58(__init__)
       29    0.002    0.000    0.834    0.029 __init__.py:1(<module>)
     9270    0.002    0.000    0.002    0.000 artist.py:851(get_animated)
       72    0.002    0.000    0.008    0.000 lines.py:656(recache)
      300    0.002    0.000    0.027    0.000 markers.py:327(_set_marker)
     2250    0.002    0.000    0.006    0.000 re.py:188(match)
     4994    0.002    0.000    0.003    0.000 sre_parse.py:254(get)
     3826    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
  260/184    0.001    0.000    0.007    0.000 transforms.py:2444(get_affine)
      644    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
      697    0.001    0.000    0.003    0.000 enum.py:75(__setitem__)
2551/2385    0.001    0.000    0.002    0.000 {method 'update' of 'dict' objects}
  542/102    0.001    0.000    0.597    0.006 <frozen importlib._bootstrap>:1017(_handle_fromlist)
      845    0.001    0.000    0.002    0.000 contextlib.py:82(__init__)
     1746    0.001    0.000    0.007    0.000 artist.py:417(pchanged)
     35/7    0.001    0.000    0.668    0.095 {built-in method _imp.exec_dynamic}
       58    0.001    0.000    0.002    0.000 transforms.py:2500(get_matrix)
      314    0.001    0.000    0.012    0.000 overrides.py:170(decorator)
       74    0.001    0.000    0.022    0.000 text.py:738(draw)
      566    0.001    0.000    0.001    0.000 __init__.py:1775(<dictcomp>)
     2654    0.001    0.000    0.002    0.000 __init__.py:421(_strip_comment)
     1040    0.001    0.000    0.006    0.000 colors.py:265(to_rgba)
      358    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
     8906    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
     2410    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
      188    0.001    0.000    0.001    0.000 colors.py:1101(<listcomp>)
     1776    0.001    0.000    0.005    0.000 colors.py:213(_is_nth_color)
       90    0.001    0.000    0.010    0.000 lines.py:728(draw)
     5467    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
     1721    0.001    0.000    0.002    0.000 function_base.py:346(iterable)
       63    0.001    0.000    0.011    0.000 patches.py:742(get_patch_transform)
     2279    0.001    0.000    0.003    0.000 {built-in method _abc._abc_instancecheck}
       24    0.001    0.000    0.010    0.000 ticker.py:2074(_raw_ticks)
    10067    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
  452/208    0.001    0.000    0.023    0.000 sre_parse.py:435(_parse_sub)
     1181    0.001    0.000    0.002    0.000 {method '__reduce_ex__' of 'object' objects}
      150    0.001    0.000    0.002    0.000 artist.py:1159(update_from)
     1601    0.001    0.000    0.001    0.000 {built-in method numpy.asanyarray}
      332    0.001    0.000    0.003    0.000 transforms.py:2355(__init__)
      151    0.001    0.000    0.007    0.000 numeric.py:77(zeros_like)
       58    0.001    0.000    0.001    0.000 {method 'set_size' of 'matplotlib.ft2font.FT2Font' objects}
  845/815    0.001    0.000    0.005    0.000 contextlib.py:117(__exit__)
      244    0.001    0.000    0.002    0.000 transforms.py:2054(scale)
       12    0.001    0.000    0.001    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      208    0.001    0.000    0.040    0.000 sre_compile.py:759(compile)
     1239    0.001    0.000    0.002    0.000 {built-in method builtins.max}
      322    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:553(_classify_pyc)
   457/25    0.001    0.000    0.643    0.026 {built-in method builtins.__import__}
   322/15    0.001    0.000    0.696    0.046 <frozen importlib._bootstrap_external>:842(exec_module)
       29    0.001    0.000    0.001    0.000 {built-in method matplotlib._path.point_in_path}
      551    0.001    0.000    0.001    0.000 {method 'reshape' of 'numpy.ndarray' objects}
  685/559    0.001    0.000    0.001    0.000 transforms.py:167(_invalidate_internal)
      779    0.001    0.000    0.002    0.000 inspect.py:493(unwrap)
2299/2179    0.001    0.000    0.010    0.000 {built-in method builtins.next}
       33    0.001    0.000    0.001    0.000 {method 'globalsetvar' of '_tkinter.tkapp' objects}
      649    0.001    0.000    0.003    0.000 __init__.py:1553(getint_event)
       66    0.001    0.000    0.024    0.000 text.py:918(get_window_extent)
       30    0.001    0.000    0.001    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      618    0.001    0.000    0.004    0.000 _inspect.py:96(getargspec)
      427    0.001    0.000    0.002    0.000 __init__.py:65(check_isinstance)
       21    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
     1550    0.001    0.000    0.063    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
      146    0.001    0.000    0.012    0.000 text.py:185(_reset_visual_defaults)
      334    0.001    0.000    0.001    0.000 font_manager.py:809(set_size)
      400    0.001    0.000    0.001    0.000 {built-in method matplotlib._path.affine_transform}
      317    0.001    0.000    0.004    0.000 function_base.py:483(add_newdoc)
      474    0.001    0.000    0.002    0.000 lines.py:1268(set_xdata)
