#=====================================================
# File created:        Sat-09-Mar-2024-at-12-22-58PM
# Size of lattice:     150x150
# Number of MC steps:  150
# Reduced temperature: 0.500
# Run time (s):        50.694485
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -22396.3227  0.2511 
   00001    0.6800  -33457.2188  0.2511 
   00002    0.6290  -40409.7862  0.2522 
   00003    0.5825  -45382.2000  0.2524 
   00004    0.5562  -49238.6896  0.2528 
   00005    0.5349  -52391.7655  0.2526 
   00006    0.5181  -54875.1203  0.2529 
   00007    0.5074  -57177.6597  0.2532 
   00008    0.4926  -58928.4095  0.2535 
   00009    0.4919  -60359.1710  0.2531 
   00010    0.4813  -61598.1352  0.2530 
   00011    0.4737  -62406.3290  0.2532 
   00012    0.4671  -63547.1799  0.2532 
   00013    0.4668  -64491.2072  0.2537 
   00014    0.4591  -65239.5024  0.2528 
   00015    0.4602  -65877.4298  0.2533 
   00016    0.4574  -66549.7302  0.2532 
   00017    0.4570  -67156.7102  0.2526 
   00018    0.4487  -67606.3052  0.2526 
   00019    0.4464  -68092.5449  0.2523 
   00020    0.4485  -68387.4174  0.2527 
   00021    0.4449  -68713.2723  0.2535 
   00022    0.4507  -68877.9504  0.2543 
   00023    0.4419  -69313.6465  0.2538 
   00024    0.4429  -69598.3902  0.2536 
   00025    0.4418  -69805.0457  0.2544 
   00026    0.4400  -69952.8707  0.2542 
   00027    0.4401  -70303.7237  0.2543 
   00028    0.4400  -70526.0685  0.2539 
   00029    0.4402  -70791.4782  0.2538 
   00030    0.4339  -70912.5326  0.2546 
   00031    0.4383  -71134.9219  0.2547 
   00032    0.4366  -71339.0140  0.2550 
   00033    0.4346  -71388.8460  0.2556 
   00034    0.4294  -71416.0929  0.2554 
   00035    0.4364  -71542.7148  0.2554 
   00036    0.4271  -71565.0222  0.2553 
   00037    0.4376  -71624.5926  0.2552 
   00038    0.4268  -71897.3643  0.2552 
   00039    0.4376  -71856.5729  0.2555 
   00040    0.4264  -72011.8224  0.2548 
   00041    0.4333  -72062.1515  0.2545 
   00042    0.4299  -72245.8234  0.2550 
   00043    0.4270  -72252.9121  0.2549 
   00044    0.4338  -72343.0772  0.2551 
   00045    0.4292  -72170.3980  0.2552 
   00046    0.4234  -72402.1753  0.2551 
   00047    0.4308  -72463.8249  0.2556 
   00048    0.4235  -72573.6717  0.2553 
   00049    0.4304  -72735.2961  0.2559 
   00050    0.4279  -72811.5278  0.2555 
   00051    0.4277  -72820.1993  0.2560 
   00052    0.4283  -72869.8651  0.2561 
   00053    0.4239  -73028.6741  0.2561 
   00054    0.4216  -73000.1389  0.2564 
   00055    0.4284  -73128.5792  0.2570 
   00056    0.4265  -73180.0910  0.2572 
   00057    0.4268  -73275.7355  0.2584 
   00058    0.4268  -73408.7781  0.2582 
   00059    0.4230  -73462.3210  0.2591 
   00060    0.4218  -73543.8405  0.2595 
   00061    0.4280  -73656.9398  0.2594 
   00062    0.4239  -73654.9567  0.2597 
   00063    0.4275  -73611.5703  0.2604 
   00064    0.4219  -73660.1702  0.2605 
   00065    0.4264  -73577.2766  0.2601 
   00066    0.4282  -73659.5508  0.2604 
   00067    0.4253  -73891.1483  0.2611 
   00068    0.4220  -73774.4887  0.2615 
   00069    0.4188  -73828.7798  0.2608 
   00070    0.4296  -73834.1468  0.2600 
   00071    0.4203  -73782.1173  0.2598 
   00072    0.4230  -73974.1583  0.2596 
   00073    0.4239  -73993.3471  0.2591 
   00074    0.4163  -74116.6900  0.2590 
   00075    0.4207  -74072.1205  0.2593 
   00076    0.4219  -74036.7162  0.2595 
   00077    0.4202  -74060.6499  0.2595 
   00078    0.4300  -74039.8234  0.2600 
   00079    0.4296  -74019.8815  0.2600 
   00080    0.4203  -74066.5026  0.2596 
   00081    0.4259  -74094.7923  0.2589 
   00082    0.4204  -74137.9166  0.2588 
   00083    0.4248  -74016.8687  0.2587 
   00084    0.4256  -74047.0101  0.2589 
   00085    0.4170  -74263.1884  0.2584 
   00086    0.4171  -74315.5852  0.2592 
   00087    0.4200  -74228.3838  0.2601 
   00088    0.4240  -74254.3717  0.2599 
   00089    0.4215  -74372.4312  0.2607 
   00090    0.4177  -74423.4093  0.2594 
   00091    0.4208  -74467.4593  0.2592 
   00092    0.4229  -74552.8086  0.2591 
   00093    0.4110  -74527.0534  0.2598 
   00094    0.4262  -74499.8767  0.2596 
   00095    0.4217  -74615.7004  0.2591 
   00096    0.4175  -74615.6052  0.2596 
   00097    0.4234  -74729.8763  0.2596 
   00098    0.4193  -74646.7772  0.2600 
   00099    0.4220  -74735.4287  0.2600 
   00100    0.4199  -74814.8579  0.2605 
   00101    0.4139  -74843.1120  0.2601 
   00102    0.4231  -74784.6437  0.2605 
   00103    0.4207  -74667.1183  0.2605 
   00104    0.4216  -74804.3074  0.2612 
   00105    0.4157  -74690.1104  0.2611 
   00106    0.4224  -74770.5322  0.2615 
   00107    0.4190  -74720.6688  0.2621 
   00108    0.4181  -74794.5675  0.2626 
   00109    0.4162  -74760.8435  0.2628 
   00110    0.4241  -74832.0385  0.2626 
   00111    0.4145  -74858.3276  0.2623 
   00112    0.4187  -74743.0385  0.2625 
   00113    0.4180  -74842.5720  0.2632 
   00114    0.4141  -74993.2285  0.2636 
   00115    0.4202  -75091.5730  0.2636 
   00116    0.4153  -75094.8182  0.2634 
   00117    0.4186  -75049.6792  0.2631 
   00118    0.4162  -75027.8597  0.2628 
   00119    0.4171  -75145.2122  0.2626 
   00120    0.4205  -75032.2163  0.2625 
   00121    0.4168  -75083.7987  0.2622 
   00122    0.4175  -74997.1201  0.2623 
   00123    0.4151  -75167.4526  0.2622 
   00124    0.4135  -75165.0627  0.2619 
   00125    0.4213  -75213.0959  0.2618 
   00126    0.4207  -75188.0303  0.2622 
   00127    0.4142  -75129.2004  0.2631 
   00128    0.4192  -75049.4679  0.2626 
   00129    0.4157  -74965.1821  0.2637 
   00130    0.4193  -74983.7379  0.2627 
   00131    0.4128  -74916.7875  0.2629 
   00132    0.4165  -74964.3281  0.2633 
   00133    0.4130  -74999.1229  0.2636 
   00134    0.4163  -74980.4819  0.2625 
   00135    0.4178  -74985.3215  0.2629 
   00136    0.4223  -75148.5653  0.2635 
   00137    0.4182  -75223.9816  0.2634 
   00138    0.4153  -75285.4112  0.2628 
   00139    0.4148  -75269.0893  0.2628 
   00140    0.4167  -75133.7957  0.2626 
   00141    0.4163  -75249.5908  0.2616 
   00142    0.4183  -75226.7008  0.2619 
   00143    0.4194  -75011.9722  0.2620 
   00144    0.4215  -75085.2773  0.2622 
   00145    0.4165  -75208.2090  0.2630 
   00146    0.4167  -75218.5976  0.2628 
   00147    0.4252  -75192.3664  0.2629 
   00148    0.4173  -75135.0823  0.2625 
   00149    0.4173  -75177.8755  0.2623 
   00150    0.4179  -75269.8506  0.2621 
