#=====================================================
# File created:        Tue-12-Mar-2024-at-03-19-34PM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 1.000
# Run time (s):        16.917553
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -10180.4482  0.2522 
   00001    0.6874  -15206.9531  0.2543 
   00002    0.6236  -17693.2871  0.2558 
   00003    0.5870  -19031.9844  0.2521 
   00004    0.5697  -19856.5820  0.2551 
   00005    0.5528  -20635.3457  0.2641 
   00006    0.5401  -21268.3535  0.2585 
   00007    0.5315  -21667.5645  0.2619 
   00008    0.5231  -22185.3066  0.2603 
   00009    0.5221  -22302.3242  0.2574 
   00010    0.5153  -22551.1641  0.2582 
   00011    0.5110  -22615.2715  0.2616 
   00012    0.5130  -22797.7363  0.2623 
   00013    0.5079  -23034.7246  0.2660 
   00014    0.5032  -23062.5879  0.2645 
   00015    0.4996  -23100.5762  0.2679 
   00016    0.4970  -23222.8398  0.2702 
   00017    0.4909  -23357.0469  0.2727 
   00018    0.5007  -23364.9922  0.2786 
   00019    0.4904  -23304.7988  0.2792 
   00020    0.4985  -23357.6621  0.2805 
   00021    0.5021  -23142.3301  0.2796 
   00022    0.4938  -23415.0508  0.2773 
   00023    0.4918  -23258.7969  0.2811 
   00024    0.5007  -23252.9824  0.2704 
   00025    0.4958  -23328.8633  0.2687 
   00026    0.4999  -23482.5195  0.2699 
   00027    0.4898  -23346.4824  0.2711 
   00028    0.4943  -23335.3809  0.2740 
   00029    0.4978  -23325.7344  0.2777 
   00030    0.4969  -23203.9941  0.2770 
   00031    0.4965  -23463.0371  0.2755 
   00032    0.4954  -23567.3164  0.2750 
   00033    0.5033  -23584.0117  0.2756 
   00034    0.5016  -23411.7012  0.2762 
   00035    0.5024  -23404.8164  0.2736 
   00036    0.4975  -23400.6328  0.2675 
   00037    0.4950  -23340.4141  0.2673 
   00038    0.4945  -23438.2637  0.2754 
   00039    0.4873  -23555.3555  0.2823 
   00040    0.4986  -23530.9746  0.2877 
   00041    0.4916  -23749.0762  0.2901 
   00042    0.4957  -23714.4570  0.2918 
   00043    0.4924  -23829.5625  0.2906 
   00044    0.4903  -23844.3633  0.2889 
   00045    0.4885  -23819.4277  0.2959 
   00046    0.4805  -23944.5586  0.2927 
   00047    0.4909  -23902.0176  0.2956 
   00048    0.5007  -23681.0391  0.2983 
   00049    0.4909  -23799.6211  0.2992 
   00050    0.4924  -23947.7227  0.3010 
