#=====================================================
# File created:        Tue-12-Mar-2024-at-07-17-08PM
# Size of lattice:     200x200
# Number of MC steps:  50
# Reduced temperature: 1.000
# Run time (s):        49.263894
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -39794.3651  0.2537 
   00001    0.6981  -60837.3602  0.2523 
   00002    0.6247  -70474.6144  0.2540 
   00003    0.5874  -76137.5711  0.2526 
   00004    0.5665  -80152.9834  0.2508 
   00005    0.5523  -82878.9592  0.2553 
   00006    0.5421  -84783.8131  0.2548 
   00007    0.5239  -86568.7371  0.2528 
   00008    0.5248  -87888.2852  0.2512 
   00009    0.5213  -88570.3953  0.2545 
   00010    0.5165  -89325.2000  0.2547 
   00011    0.5152  -90015.4651  0.2548 
   00012    0.5132  -90896.6038  0.2552 
   00013    0.5083  -91013.1728  0.2547 
   00014    0.5054  -91704.9697  0.2540 
   00015    0.5097  -91938.6359  0.2533 
   00016    0.5020  -92247.8160  0.2565 
   00017    0.5030  -92385.0285  0.2585 
   00018    0.5036  -92563.3935  0.2616 
   00019    0.4985  -92771.7177  0.2592 
   00020    0.5000  -92841.2407  0.2610 
   00021    0.5010  -93168.2229  0.2584 
   00022    0.4980  -93500.5221  0.2552 
   00023    0.4957  -93782.4070  0.2556 
   00024    0.4954  -93775.8587  0.2564 
   00025    0.4987  -93452.1072  0.2553 
   00026    0.4963  -93319.7857  0.2544 
   00027    0.4955  -93406.5631  0.2539 
   00028    0.4964  -93492.7743  0.2561 
   00029    0.5034  -93502.3991  0.2585 
   00030    0.4995  -93625.6181  0.2602 
   00031    0.4948  -93623.8690  0.2615 
   00032    0.4950  -93796.5257  0.2632 
   00033    0.4973  -93897.8245  0.2651 
   00034    0.4962  -93796.5738  0.2680 
   00035    0.4945  -94182.4796  0.2627 
   00036    0.4948  -94079.2046  0.2609 
   00037    0.4905  -93807.7394  0.2600 
   00038    0.4994  -93733.2640  0.2620 
   00039    0.4963  -93358.9108  0.2625 
   00040    0.4960  -93454.5579  0.2615 
   00041    0.4992  -93312.4027  0.2638 
   00042    0.4983  -93565.0505  0.2649 
   00043    0.4909  -93866.2626  0.2672 
   00044    0.4941  -93744.4197  0.2686 
   00045    0.4953  -93952.9856  0.2706 
   00046    0.4951  -94244.9310  0.2721 
   00047    0.4933  -94226.5915  0.2748 
   00048    0.4929  -94165.0270  0.2752 
   00049    0.4957  -94418.9181  0.2787 
   00050    0.4888  -94303.5196  0.2786 
