#=====================================================
# File created:        Tue-12-Mar-2024-at-11-20-33AM
# Size of lattice:     50x50
# Number of MC steps:  100
# Reduced temperature: 1.000
# Run time (s):        6.579667
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2443.0368  0.2720 
   00001    0.6852   -3787.9203  0.2773 
   00002    0.6364   -4500.0871  0.2848 
   00003    0.5720   -4866.6638  0.2678 
   00004    0.5664   -5048.5616  0.2685 
   00005    0.5632   -5229.9423  0.2782 
   00006    0.5372   -5243.9896  0.2745 
   00007    0.5420   -5298.2210  0.2743 
   00008    0.5244   -5344.0136  0.2666 
   00009    0.5240   -5506.1556  0.2526 
   00010    0.5200   -5669.5207  0.2572 
   00011    0.5220   -5586.3833  0.2615 
   00012    0.4944   -5624.2037  0.2593 
   00013    0.5080   -5675.4899  0.2610 
   00014    0.5072   -5740.3721  0.2601 
   00015    0.5048   -5904.9109  0.2707 
   00016    0.5020   -5887.7052  0.2751 
   00017    0.4996   -5887.5398  0.2723 
   00018    0.5144   -5772.1893  0.2718 
   00019    0.4976   -5838.6817  0.2876 
   00020    0.4836   -5881.2098  0.2896 
   00021    0.5120   -5759.7162  0.2802 
   00022    0.4896   -5754.3917  0.2919 
   00023    0.4812   -5785.6473  0.2914 
   00024    0.4940   -5820.1783  0.2836 
   00025    0.5060   -5804.1676  0.2819 
   00026    0.4856   -5993.4836  0.2764 
   00027    0.4900   -5950.0429  0.2550 
   00028    0.4900   -5879.9270  0.2661 
   00029    0.4892   -5887.5633  0.2815 
   00030    0.4960   -5814.4852  0.2828 
   00031    0.4896   -5844.1381  0.2909 
   00032    0.4940   -5854.0846  0.2791 
   00033    0.5108   -5839.7246  0.2822 
   00034    0.4896   -5863.6361  0.2715 
   00035    0.5008   -5903.9842  0.2907 
   00036    0.4764   -5900.4442  0.2908 
   00037    0.4956   -5821.1551  0.2812 
   00038    0.5092   -5781.2862  0.2807 
   00039    0.5000   -5764.0713  0.2710 
   00040    0.5008   -5747.9789  0.2762 
   00041    0.4976   -5846.4329  0.2762 
   00042    0.5060   -5740.9721  0.2619 
   00043    0.4952   -5741.6925  0.2572 
   00044    0.4856   -5742.1121  0.2669 
   00045    0.4996   -5742.0011  0.2706 
   00046    0.4920   -5736.4458  0.2655 
   00047    0.5144   -5657.3177  0.2731 
   00048    0.5076   -5745.2231  0.2882 
   00049    0.5168   -5658.1608  0.2944 
   00050    0.5052   -5693.6445  0.2797 
   00051    0.5164   -5742.1900  0.2761 
   00052    0.4872   -5716.3933  0.2680 
   00053    0.5184   -5744.2199  0.2841 
   00054    0.5196   -5795.8015  0.2819 
   00055    0.4980   -5871.1034  0.2752 
   00056    0.4900   -5889.0017  0.2731 
   00057    0.4788   -5829.3459  0.2714 
   00058    0.4972   -5919.3162  0.2786 
   00059    0.4844   -5846.2469  0.2812 
   00060    0.5000   -5877.9582  0.2770 
   00061    0.5056   -5818.3124  0.2781 
   00062    0.5160   -5758.3519  0.2757 
   00063    0.4848   -5895.3666  0.2830 
   00064    0.4900   -5868.6709  0.2837 
   00065    0.4904   -5908.1087  0.2815 
   00066    0.5016   -5853.1805  0.2820 
   00067    0.4768   -5845.6727  0.2753 
   00068    0.4892   -5895.3127  0.2673 
   00069    0.4900   -5929.6821  0.2694 
   00070    0.4800   -5965.1836  0.2755 
   00071    0.5076   -5910.2819  0.2767 
   00072    0.4956   -5857.4109  0.2631 
   00073    0.4936   -5914.0213  0.2607 
   00074    0.4916   -5932.8819  0.2780 
   00075    0.4920   -5967.4322  0.2857 
   00076    0.5012   -5866.6542  0.2795 
   00077    0.4836   -5896.1438  0.2942 
   00078    0.5044   -5727.7429  0.2917 
   00079    0.4852   -5858.4578  0.2761 
   00080    0.4896   -5872.5934  0.2787 
   00081    0.4812   -5900.0602  0.2728 
   00082    0.4984   -5883.4812  0.2766 
   00083    0.5004   -5940.8135  0.2754 
   00084    0.4876   -5914.5739  0.2669 
   00085    0.4932   -5929.9157  0.2700 
   00086    0.4896   -5890.5069  0.2679 
   00087    0.5048   -5946.3232  0.2761 
   00088    0.5020   -5850.0209  0.2823 
   00089    0.5164   -5868.9429  0.2878 
   00090    0.5004   -5878.0955  0.2904 
   00091    0.5020   -5827.5120  0.2770 
   00092    0.4836   -6028.8226  0.2761 
   00093    0.4920   -5918.6062  0.2949 
   00094    0.4788   -5901.5626  0.3004 
   00095    0.4984   -5945.4854  0.2954 
   00096    0.4848   -6005.2054  0.2909 
   00097    0.4792   -5934.2908  0.2920 
   00098    0.5056   -5941.3011  0.2935 
   00099    0.4988   -5961.8063  0.2843 
   00100    0.4880   -6005.1099  0.2928 
