#=====================================================
# File created:        Tue-12-Mar-2024-at-07-15-38PM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 1.000
# Run time (s):        12.079921
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -10198.5266  0.2552 
   00001    0.6888  -15248.9381  0.2635 
   00002    0.6314  -17821.6211  0.2612 
   00003    0.5886  -19257.1332  0.2563 
   00004    0.5612  -20055.4450  0.2525 
   00005    0.5524  -20679.0473  0.2558 
   00006    0.5322  -21140.5505  0.2536 
   00007    0.5299  -21532.2387  0.2585 
   00008    0.5321  -21848.9740  0.2635 
   00009    0.5165  -21871.8499  0.2602 
   00010    0.5177  -22035.2322  0.2614 
   00011    0.5229  -22301.7573  0.2719 
   00012    0.5119  -22602.8840  0.2739 
   00013    0.5140  -22529.7835  0.2718 
   00014    0.5216  -22797.4667  0.2716 
   00015    0.5157  -22847.2190  0.2759 
   00016    0.5071  -23011.9802  0.2741 
   00017    0.5078  -23137.1368  0.2732 
   00018    0.4936  -23174.5269  0.2754 
   00019    0.5012  -23071.4243  0.2769 
   00020    0.5110  -23108.6410  0.2768 
   00021    0.5012  -23118.1218  0.2776 
   00022    0.5131  -23235.2620  0.2689 
   00023    0.4965  -23173.7668  0.2698 
   00024    0.5006  -23335.1582  0.2698 
   00025    0.4954  -23358.9028  0.2718 
   00026    0.4952  -23456.9488  0.2653 
   00027    0.4934  -23605.4337  0.2665 
   00028    0.4888  -23605.2796  0.2687 
   00029    0.4993  -23483.4267  0.2732 
   00030    0.4937  -23477.7829  0.2680 
   00031    0.4949  -23573.4075  0.2616 
   00032    0.4948  -23560.3525  0.2642 
   00033    0.4845  -23558.5475  0.2640 
   00034    0.4991  -23625.7791  0.2595 
   00035    0.4927  -23642.0005  0.2579 
   00036    0.4864  -23783.9614  0.2615 
   00037    0.4912  -23789.6851  0.2594 
   00038    0.4848  -23475.8021  0.2618 
   00039    0.4886  -23391.6384  0.2570 
   00040    0.5023  -23565.0938  0.2621 
   00041    0.4927  -23291.8851  0.2625 
   00042    0.5010  -23290.5279  0.2588 
   00043    0.5114  -23302.5721  0.2545 
   00044    0.4982  -23331.7608  0.2583 
   00045    0.5005  -23449.1078  0.2584 
   00046    0.5028  -23342.2858  0.2544 
   00047    0.4994  -23403.2077  0.2561 
   00048    0.4982  -23450.5236  0.2598 
   00049    0.4883  -23574.5431  0.2649 
   00050    0.4940  -23668.1665  0.2664 
