#=====================================================
# File created:        Tue-12-Mar-2024-at-04-07-12PM
# Size of lattice:     150x150
# Number of MC steps:  50
# Reduced temperature: 1.000
# Run time (s):        5.065735
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -22394.0877  0.2516 
   00001    0.6941  -34048.4842  0.2510 
   00002    0.6230  -39412.8639  0.2562 
   00003    0.5936  -42832.5171  0.2526 
   00004    0.5632  -45186.0255  0.2587 
   00005    0.5507  -46360.2290  0.2611 
   00006    0.5390  -47700.7733  0.2645 
   00007    0.5357  -48414.8111  0.2611 
   00008    0.5344  -49225.6126  0.2624 
   00009    0.5234  -49871.7903  0.2615 
   00010    0.5140  -50480.4138  0.2634 
   00011    0.5101  -51006.3172  0.2659 
   00012    0.5027  -51034.0425  0.2685 
   00013    0.5047  -51122.1634  0.2723 
   00014    0.5052  -51491.8219  0.2735 
   00015    0.5138  -51369.6677  0.2746 
   00016    0.5110  -51599.1206  0.2743 
   00017    0.5057  -51504.8746  0.2700 
   00018    0.4988  -51668.1775  0.2678 
   00019    0.4968  -52113.0384  0.2674 
   00020    0.4964  -52464.7727  0.2690 
   00021    0.5016  -52549.6274  0.2692 
   00022    0.4940  -52509.8294  0.2704 
   00023    0.5006  -52573.9678  0.2719 
   00024    0.5031  -52778.6149  0.2685 
   00025    0.4936  -52742.7011  0.2638 
   00026    0.4944  -52829.6937  0.2635 
   00027    0.4911  -52843.8984  0.2628 
   00028    0.4924  -52748.9601  0.2635 
   00029    0.4962  -52823.6250  0.2631 
   00030    0.4975  -52692.2631  0.2592 
   00031    0.5017  -52705.2752  0.2596 
   00032    0.4941  -52895.8436  0.2573 
   00033    0.4991  -52853.1488  0.2575 
   00034    0.4915  -52792.3252  0.2564 
   00035    0.4951  -52624.1023  0.2566 
   00036    0.5012  -52824.9480  0.2601 
   00037    0.4940  -53089.2339  0.2648 
   00038    0.4924  -53030.3547  0.2678 
   00039    0.4949  -53021.2123  0.2693 
   00040    0.4941  -52950.5486  0.2701 
   00041    0.4953  -53091.1782  0.2699 
   00042    0.4951  -53523.2428  0.2696 
   00043    0.4948  -53285.1836  0.2653 
   00044    0.4908  -53053.5829  0.2644 
   00045    0.4916  -53148.3151  0.2606 
   00046    0.4896  -53068.9064  0.2583 
   00047    0.4948  -53011.8192  0.2558 
   00048    0.4881  -52999.0160  0.2572 
   00049    0.4964  -52780.2154  0.2584 
   00050    0.4956  -52845.8261  0.2627 
